ПО ОКРУГАМ,Озимого,Ярового,Картофеля
Красноярскому,42531,374869,16670
Енисейскому,68486,116824,40130
Канскому,129078,180062,50466
Минусинскому,31431,553766,37173
Ачинскому,72091,261473,22369
ИТОГО,343617,1486994,166808
