ПО ПРИЗЫВУ 1875 ГОДА ПРИНЯТО
1) Дворян потомственных и личных
"2) Лиц, состоящих на государственной гражданской службе"
"3) Почетных граждан, потомственных и личных"
"4) Прочих лиц, изъятых от внесения в 10-ю народную перепись, а также вышедших после ревизии изъ податного сословия"
5) Купцов
6) Мещан и цеховых
7) Крестьян всех наименований
"8) Прочих лиц, внесенных в ревизския сказки, а равно приписанных к обществам после ревизии"
ИТОГО
