ГОРОДА И ОКРУГА,В зимние месяцы Число пожаров,В зимние месяцы Число погоревших дворов,В зимние месяцы Сумма убытков,В весенние месяцы Число пожаров,В весенние месяцы Число погоревших дворов,В весенние месяцы Сумма убытков
В городе Красноярске,1,1,250,—,—,—
» округе оного,4,6,5335—80,8,24,15197—80
» городе Енисейске,—,—,—,1,1,500
» округе оного,2,2,8050,5,8,5022—96
» городе Канске,2,1,500,—,—,—
» округе оного,1,1,40,1,1,940
» городе Ачинске,—,—,—,—,—,—
» округе оного,1,1,150,9,10,1025—68
» городе Минусинске,2,2,170,1,1,230
» округе оного,11,10,2779—50,12,14,5299—20
Всего по губернии,24,14,17275—30,37,59,28215—64
