РОДЫ ПОДАТЕЙ,Следовало поступить Недоимок руб.,Следовало поступить Недоимок коп.,Следовало поступить Оклада руб.,Следовало поступить Оклада коп.,Вновь причислено Недоимок руб.,Вновь причислено Недоимок коп.,Вновь причислено Оклада руб.,Вновь причислено Оклада коп.
Министерства военного,1325,—,—,—,—,—,—,—
"» » внутренних дел",288,80 3/4,—,—,1052,74,—,—
"» » юстиции",39,6,—,—,119,10,—,—
По кредитной части,192564,30 1/2,—,—,3996,24,—,—
ИТОГО,570251,12,—,—,68595,43 1/4,—,—
III. В сем числе взысканий на ответственности губернского начальства,—,—,—,—,—,—,—,—
По ведомствам:,—,—,—,—,—,—,—,—
Министерства государственных имуществ,22498,30 3/4,—,—,5099,23 1/2,—,—
Министерства финансов:,—,—,—,—,—,—,—,—
Департамента государственного казначейства,255901,82 3/4,—,—,38036,44 1/4,—,—
"» » неокладных сборов",61889,93 1/2,—,—,11001,32 1/2,—,—
"» » горного",31418,57 3/4,—,—,7854,60,—,—
"» » торговли и мануфактур",4325,30,—,—,1435,75,—,—
Министерств: внутренних дел,288,80 3/4,—,—,1052,74,—,—
"» » юстиции",39,6,—,—,119,10,—,—
По кредитной части,92**6,88,—,—,3996,24,—,—
ИТОГО,469188,69 1/2,—,—,68595,43 1/4,—,—
