id;date_text;event_ref;context
d22;1899 г.;1899;"8 лесов от самовольных порубок , каковые в отчетном году встречались значительно реже, нежели в предыдущие годы. В эксплуатации казенных дач нельзя не отметить движения вперед по пути рационального лесного хозяйства, выразившегося в переходе от рубки леса по урочищам к выборочной рубке по лесосекам и делянкам, чем достигается возможность надзора за заготовщиками и предупреждается истощение дач. К концу отчетного года была предпринята Управлением государственными имуществами в интересах рационального использования лесных угодий, а равно предоставления крестьянам заработка, заготовка лесных материалов для нужд железной дороги. Заведывание казеннооброчными статьями выразилось, главным образом, в возобновлении почти повсеместно утраченных границ оброчных участков, образованных в прежние годы, и их оценке, в приведении в известность тех статей, которые оказались уже замежеванными в переселенческие участки, и в значительном образовании новых оброчных статей. На разработку золотых приисков в Енисейской губернии отчетный год отразился неблагоприятно. Добыто золота 179 пудов 36 фунтов 2 золотника 4 доли, менее чем в 1899 г. на 8 пудов 30 фунтов 91 золотник 30 долей; в общем, замечается постепенный упадок золотопромышленности вследствие выработки прежних богатых площадей, а вновь заявленные площади, хотя и отводятся, но не разрабатываются и даже не разведываются по отсутствию лиц, владеющих достаточными капиталами. Действия съездов золотопромышленников за 4-летнее свое существование хотя и принесли некоторую пользу, но они сильно парализуются настоящей редакцией 35 и 36 статей Положения о съездах именно необязательностью исполнения золотопромышленниками постановлений съездов. В положении техники золота хотя и можно отметить некоторые попытки к введению разных технических усовершенствований, в целях развития горного дела, как, например, применение и постановку в некоторых приисках Южно-Енисейского и Ачинско -Минусинского горных округов «Толчеи», «Драг», «Экскаватора» и прочее, но отсутствие у золотопро -"
d23;1899 г.;1899;"9 мышленников крупных капиталов в значительной степени задерживает оживление этого дела на пути дальнейшего его развития, каковое возможно при условии, если местная золотопромышленность привлечет иностранные капиталы. Частное товарогрузовое движение Сибирской железной дороги в пределах губернии, в сравнении с прошлым отчетным годом, значительно уменьшилось, будучи вызвано неотложными потребностями военного времени, весьма значительными транспортами войск, лошадей и всяких воинских грузов. Перевозка войск и приостановка с 10 июля минувшего года действия льготного тарифа для переселенцев отразились и на передвижении последних, которых водворилось менее, чем в 1899 г. Спрос со стороны переселенцев на свободные казенные земли продолжает возрастать с каждым годом, и в отчетном году в Ачинский и Канский уезды прибыло много ходоков для подыскания незанятых участков. Были случаи и обратного переселения из числа уже осевших на поселках переселенцев; причина этому, как и в прежние годы: частью тоска по родине, отдаленность храмов, суровость климата и мошка, а главное — недостаток материальных средств. Большинство переселенцев привозят с собою мало денег, и таким образом сторублевое пособие, выдаваемое правительством в течении 2–3 лет как подспорье в хозяйстве, идет у переселенцев преимущественно на продовольствие, вследствие чего, когда истекает льготное время по платежу податей, переселенцы все еще остаются неустроившимися . В борьбе с этим надлежало бы или увеличить размер пособий, или допускать к переселению из Европейской России лишь тех крестьян, которые не только предъявят, но и представят наличное обеспечение в известной сумме с обратным получением таковой на месте прибытия в Сибири, которое бы свидетельствовало о достаточной правомощности к устройству с некоторым пособием от казны нового хозяйства в Сибири. Это тем более необходимо, что лучшие свободные земли, обращенные на устройство переселенческих участков, уже заселены, а вновь образованные ныне переселенческие участки являются как бы худшими в том смысле, что устройство"
d24;1901 г.;1901;"10 в них переселенцами хозяйств потребует от них больших затрат как в отношении личной энергии, так и в отношении материальных средств; об этом полагаю войти с представлением к главному начальнику края к концу 1901 г. по собрании сведений об устройстве переселенцами своих хозяйств на этих новых участках. Работы Енисейской партии по образованию переселенческих участков в отчетном году коснулись таежных районов Красноярского, Ачинского, Минусинского и Канского уездов и заключались в окончательном отграничении участков, образованных в 1899 г., с распланированием в них селений. В нескольких таежных районах было произведено предварительное обследование огромных лесных пространств, обнаружившее пригодность некоторых частей этих районов для заселения. Енисейский землеустроительный отряд, начавший свои действия в 1898 г., производил в минувшем 1900 г. с должным успехом землеустроительные работы в нескольких волостях Минусинского и Красноярского уездов. Дело церковного и школьного строительства в переселенческих поселках на средства, отпущенные из фонда Имени ИМПЕРАТОРА АЛЕКСАНДРА III, продолжалось и в отчетном году, но, к сожалению, не может идти в уровень с желаниями переселенцев — строились храмы и при них дома для приюта и школы в пяти селениях; в четырех селениях на средства того же фонда заготовлялся материал для сооружения в каждом из них церквей. Успехи по народному образованию выразились в отчетном году открытием вновь 14 училищ Министерства народного просвещения и 16 церковноприходских школ и школ грамоты, но это не удовлетворяет стремления населения к школе — около ста сельских обществ возбудили ходатайства об открытии у них одноклассных училищ; но Министерство народного просвещения могло удовлетворить только 21 ходатайство с отпуском необходимых средств. Действие в губернии новых судов хотя и имеет некоторое воспитательное значение, приучая население к законности, но ссыльный элемент все же имеет огромное значение на размер преступности, и надежды на лучшее в этом отношении буду -"
d25;1899 г.;1899;"10 в них переселенцами хозяйств потребует от них больших затрат как в отношении личной энергии, так и в отношении материальных средств; об этом полагаю войти с представлением к главному начальнику края к концу 1901 г. по собрании сведений об устройстве переселенцами своих хозяйств на этих новых участках. Работы Енисейской партии по образованию переселенческих участков в отчетном году коснулись таежных районов Красноярского, Ачинского, Минусинского и Канского уездов и заключались в окончательном отграничении участков, образованных в 1899 г., с распланированием в них селений. В нескольких таежных районах было произведено предварительное обследование огромных лесных пространств, обнаружившее пригодность некоторых частей этих районов для заселения. Енисейский землеустроительный отряд, начавший свои действия в 1898 г., производил в минувшем 1900 г. с должным успехом землеустроительные работы в нескольких волостях Минусинского и Красноярского уездов. Дело церковного и школьного строительства в переселенческих поселках на средства, отпущенные из фонда Имени ИМПЕРАТОРА АЛЕКСАНДРА III, продолжалось и в отчетном году, но, к сожалению, не может идти в уровень с желаниями переселенцев — строились храмы и при них дома для приюта и школы в пяти селениях; в четырех селениях на средства того же фонда заготовлялся материал для сооружения в каждом из них церквей. Успехи по народному образованию выразились в отчетном году открытием вновь 14 училищ Министерства народного просвещения и 16 церковноприходских школ и школ грамоты, но это не удовлетворяет стремления населения к школе — около ста сельских обществ возбудили ходатайства об открытии у них одноклассных училищ; но Министерство народного просвещения могло удовлетворить только 21 ходатайство с отпуском необходимых средств. Действие в губернии новых судов хотя и имеет некоторое воспитательное значение, приучая население к законности, но ссыльный элемент все же имеет огромное значение на размер преступности, и надежды на лучшее в этом отношении буду -"
d26;1898 г.;1898;"10 в них переселенцами хозяйств потребует от них больших затрат как в отношении личной энергии, так и в отношении материальных средств; об этом полагаю войти с представлением к главному начальнику края к концу 1901 г. по собрании сведений об устройстве переселенцами своих хозяйств на этих новых участках. Работы Енисейской партии по образованию переселенческих участков в отчетном году коснулись таежных районов Красноярского, Ачинского, Минусинского и Канского уездов и заключались в окончательном отграничении участков, образованных в 1899 г., с распланированием в них селений. В нескольких таежных районах было произведено предварительное обследование огромных лесных пространств, обнаружившее пригодность некоторых частей этих районов для заселения. Енисейский землеустроительный отряд, начавший свои действия в 1898 г., производил в минувшем 1900 г. с должным успехом землеустроительные работы в нескольких волостях Минусинского и Красноярского уездов. Дело церковного и школьного строительства в переселенческих поселках на средства, отпущенные из фонда Имени ИМПЕРАТОРА АЛЕКСАНДРА III, продолжалось и в отчетном году, но, к сожалению, не может идти в уровень с желаниями переселенцев — строились храмы и при них дома для приюта и школы в пяти селениях; в четырех селениях на средства того же фонда заготовлялся материал для сооружения в каждом из них церквей. Успехи по народному образованию выразились в отчетном году открытием вновь 14 училищ Министерства народного просвещения и 16 церковноприходских школ и школ грамоты, но это не удовлетворяет стремления населения к школе — около ста сельских обществ возбудили ходатайства об открытии у них одноклассных училищ; но Министерство народного просвещения могло удовлетворить только 21 ходатайство с отпуском необходимых средств. Действие в губернии новых судов хотя и имеет некоторое воспитательное значение, приучая население к законности, но ссыльный элемент все же имеет огромное значение на размер преступности, и надежды на лучшее в этом отношении буду -"
d27;1900 г.;1900;"10 в них переселенцами хозяйств потребует от них больших затрат как в отношении личной энергии, так и в отношении материальных средств; об этом полагаю войти с представлением к главному начальнику края к концу 1901 г. по собрании сведений об устройстве переселенцами своих хозяйств на этих новых участках. Работы Енисейской партии по образованию переселенческих участков в отчетном году коснулись таежных районов Красноярского, Ачинского, Минусинского и Канского уездов и заключались в окончательном отграничении участков, образованных в 1899 г., с распланированием в них селений. В нескольких таежных районах было произведено предварительное обследование огромных лесных пространств, обнаружившее пригодность некоторых частей этих районов для заселения. Енисейский землеустроительный отряд, начавший свои действия в 1898 г., производил в минувшем 1900 г. с должным успехом землеустроительные работы в нескольких волостях Минусинского и Красноярского уездов. Дело церковного и школьного строительства в переселенческих поселках на средства, отпущенные из фонда Имени ИМПЕРАТОРА АЛЕКСАНДРА III, продолжалось и в отчетном году, но, к сожалению, не может идти в уровень с желаниями переселенцев — строились храмы и при них дома для приюта и школы в пяти селениях; в четырех селениях на средства того же фонда заготовлялся материал для сооружения в каждом из них церквей. Успехи по народному образованию выразились в отчетном году открытием вновь 14 училищ Министерства народного просвещения и 16 церковноприходских школ и школ грамоты, но это не удовлетворяет стремления населения к школе — около ста сельских обществ возбудили ходатайства об открытии у них одноклассных училищ; но Министерство народного просвещения могло удовлетворить только 21 ходатайство с отпуском необходимых средств. Действие в губернии новых судов хотя и имеет некоторое воспитательное значение, приучая население к законности, но ссыльный элемент все же имеет огромное значение на размер преступности, и надежды на лучшее в этом отношении буду -"
d28;1897 г.;1897;"11 щее надо ожидать от дарованной ВАШИМ ИМПЕРАТОРСКИМ ВЕЛИЧЕСТВОМ милости — прекращения ссылки. По устройству Обь-Енисейского канала: в отчетном году потребовалось 729 человек рабочих, 223 000 руб. на плату им, инвентарь и другие расходы. Из эпидемий в отчетном году преобладающими болезнями были: брюшной тиф, скарлатина, грипп и коклюш, при чем гриппа зарегистрировано 4 060 случаев. При образовании сельской врачебной части в 1897 г. число врачей и фельдшеров назначено было соответственно коренному населению губернии; в настоящее же время, благодаря усиленному переселению, число жителей и новых поселков в губернии, разбросанных притом на громадном расстоянии от резиденции врачебного персонала, значительно увеличилось и недостаток в участковых сельских врачах стал ощущаться заметнее. Для возбуждения ходатайства о более соответственном интересам населения распределении врачебных участков и по возможности увеличении числа их собираются подготовительные сведения. В особых условиях находятся в Енисейской губернии на севере — Туруханский край и на юге — Усинский пограничный округ. В первом, по его обширности и малонаселенности, трудную для управления задачу составляет своевременная помощь населению в случае голода. Для этого необходимо содержать от правительства продовольственные запасы мукой на местах, которые и содержатся в определенных пунктах. По ВСЕМИЛОСТИВЕЙШЕМУ ВАШЕГО ИМПЕРАТОРСКОГО ВЕЛИЧЕСТВА манифесту 14 ноября 1894 г. прощены населению долги по прежним ссудам из хлебозапасного капитала, и в отчетном году возвращена в тот же капитал равная этим долгам сумма — 238 382 руб. Наличность этого капитала служит полным обеспечением населения северной части Енисейской губернии от возможности бедствий вследствие голода. Для общего поднятия этого края необходимо организовать срочное субсидированное пароходство между городом Енисейском и устьем реки Енисея. Последние предложения"
d29;14 ноября 1894 г.;1894-11-14;"11 щее надо ожидать от дарованной ВАШИМ ИМПЕРАТОРСКИМ ВЕЛИЧЕСТВОМ милости — прекращения ссылки. По устройству Обь-Енисейского канала: в отчетном году потребовалось 729 человек рабочих, 223 000 руб. на плату им, инвентарь и другие расходы. Из эпидемий в отчетном году преобладающими болезнями были: брюшной тиф, скарлатина, грипп и коклюш, при чем гриппа зарегистрировано 4 060 случаев. При образовании сельской врачебной части в 1897 г. число врачей и фельдшеров назначено было соответственно коренному населению губернии; в настоящее же время, благодаря усиленному переселению, число жителей и новых поселков в губернии, разбросанных притом на громадном расстоянии от резиденции врачебного персонала, значительно увеличилось и недостаток в участковых сельских врачах стал ощущаться заметнее. Для возбуждения ходатайства о более соответственном интересам населения распределении врачебных участков и по возможности увеличении числа их собираются подготовительные сведения. В особых условиях находятся в Енисейской губернии на севере — Туруханский край и на юге — Усинский пограничный округ. В первом, по его обширности и малонаселенности, трудную для управления задачу составляет своевременная помощь населению в случае голода. Для этого необходимо содержать от правительства продовольственные запасы мукой на местах, которые и содержатся в определенных пунктах. По ВСЕМИЛОСТИВЕЙШЕМУ ВАШЕГО ИМПЕРАТОРСКОГО ВЕЛИЧЕСТВА манифесту 14 ноября 1894 г. прощены населению долги по прежним ссудам из хлебозапасного капитала, и в отчетном году возвращена в тот же капитал равная этим долгам сумма — 238 382 руб. Наличность этого капитала служит полным обеспечением населения северной части Енисейской губернии от возможности бедствий вследствие голода. Для общего поднятия этого края необходимо организовать срочное субсидированное пароходство между городом Енисейском и устьем реки Енисея. Последние предложения"
d30;1900 год;1900;16 ОГЛАВЛЕНИЕ СТАТЕЙ ОБЗОРА ЕНИСЕЙСКОЙ ГУБЕРНИИ ЗА ОБЗОРА ЕНИСЕЙСКОЙ ГУБЕРНИИ ЗА 19001900 ГОДГОД Страницы I. Естественные и производительные силы губернии и экономическая деятельность населения: а) Земледелие – – – – – б) Обеспечение народного продовольствия – – – в) Промыслы городского и сельского населения и г) Промышленность заводская и фабричная – – – – д) Лесоустройство – – – – е) Торговля – – – – – 4 ж) Движение населения – – – – II. Подати и повинности: а) Окладные взыскания – – – б) Земские сборы – – – – – 29 в) О казенных доходах и расходах по казначействам Енисейской губернии за 1900 год г) Отправление денежных повинностей– д) Городские доходы и расходы е) Акцизные сборы – – – 3 ж) Отправление натуральных повинностей – – з) Воинская повинность III. Общественное благоустройство и благочиние: а) Казенные и общественные здания – – –6 б) Сухопутные сообщения: дороги, мосты, перевозы и почты в) Водные сообщения г) Народная нравственность д) Ссыльные, этапы, тюрьмы и ссыльнокаторжные ж) Пожары
d31;1899 г.;1899;"19 количестве. Культура картофеля, сравнительно с предшествовавшими годами, развивается постепенно и правильно во всех уездах губернии. Всего чаще подвержены неурожаю хлеба в Енисейском уезде, где местные неурожаи настолько часты и вместе с тем обширны, что влияют на среднюю по уезду. В остальных уездах неурожаи бывают периодически вследствие неблагоприятных метеорологических условий в периоды вегетации хлебов, и если эти неблагоприятные условия действуют по всей губернии, то получается недород хлебов. Вообще земледелие во всей губернии в том виде, в каком оно существует в настоящее время, подвержено риску вследствие неблагоприятных климатических условий. Урожаи всех хлебов подвергаются значительным колебаниям. Яровым вредят долго продолжающиеся весенние заморозки и холодные утренники в конце лета, бездождие и засухи весною и летом, а в южной части губернии, кроме этого, в значительной мере вредят насекомые: кобылка, червяк и полевые грызуны. Яровые более подвержены неурожаям, чем озимые. Из данных за время с 1879 по 1899 г. видно, что земледелие от неурожаев более всего терпит, как выше сказано, в Енисейском уезде, затем в Минусинском, несмотря на плодородие почвы его, далее в Ачинском, Канском и Красноярском уездах. В Красноярском уезде вследствие густоты населения и наступающего «утеснения» в земле земледелие ведется тщательнее, чем в других округах, чем и объясняется большее постоянство урожаев. В Минусинском уезде неурожаи редко бывают повсеместными: в сухое лето неурожаю подвержены лишь посевы степной полосы, в дождливое лето — лишь посевы южной подтаежной полосы; но средняя полоса, переходная между этими двумя, в том и другом случае обеспечивает себе обычный средний сбор хлебов. В средней полосе губернии, т. е. в уездах Красноярском, Канском, Ачинском (северной части) и Енисейском, распространена двухпольная и отчасти трехпольная система полеводства. Но главная система, до сих пор преобладающая в губернии, а в былое время, в начале развития края, бывшая единственною — есть переложная. При господстве ее обрабатываются «залоги», т. е. земля из-под леса, который"
id;date_text;event_ref;context
d32;1900 г.;1900;21 кое-что, способствующее распространению среди крестьянского населения более рациональных способов полеводства и улучшению сельскохозяйственной техники. Но делается это медленно, так как в Енисейской губернии нет сельскохозяйственных школ или каких-либо агрономических учреждений, которые шли бы на встречу назревающим потребностям местного хозяйства. Осенью 1899 и весною 1900 г. было посеяно хлеба:
d33;1 января 1900 г.;1900-01-01;25 Обеспечение народного продовольствия К 1 января 1900 г. по возвращении части хлеба, выданного на весенний посев, в 486 экономических сельских магазинах находилось налицо запасного хлеба: озимого и ярового — 391 215 четв., менее 1899 г. на 46 612 четв ., в ссудах и недоимках — озимого и ярового 61 568 четв ., более чем в 1899 г. на 21 794 четв., а именно:
d34;1899 г.;1899;25 Обеспечение народного продовольствия К 1 января 1900 г. по возвращении части хлеба, выданного на весенний посев, в 486 экономических сельских магазинах находилось налицо запасного хлеба: озимого и ярового — 391 215 четв., менее 1899 г. на 46 612 четв ., в ссудах и недоимках — озимого и ярового 61 568 четв ., более чем в 1899 г. на 21 794 четв., а именно:
d35;1899 г.;1899;25 Обеспечение народного продовольствия К 1 января 1900 г. по возвращении части хлеба, выданного на весенний посев, в 486 экономических сельских магазинах находилось налицо запасного хлеба: озимого и ярового — 391 215 четв., менее 1899 г. на 46 612 четв ., в ссудах и недоимках — озимого и ярового 61 568 четв ., более чем в 1899 г. на 21 794 четв., а именно:
d36;1900 г.;1900;"26 Жители станков Туруханского края, расположенных от г. Туруханска вниз по р. Енисею до Толстого Носа, запасают хлеб для своего продовольствия летом с пароходов и судов, прибывающих в низовья р. Енисея из г . Красноярска и Енискейска , а зимой, при недостатке запасов, покупают у частных торговцев в селе Дудинском или же берут заимообразно из казенных хлебозапасных магазинов; жители же станков вверх по р. Енисею от г. Туруханска покупают хлеб в г. Енисейске чрез своих общественников, наиболее состоятельных, плавающих ежегодно, с открытием навигации, на своих судах в названный город для сбыта пушнины. В навигацию 1900 г. жители Туруханского края хотя и запасались по своим средствам хлебом, но беднейшее население и особенно инородцы не могли обойтись без займа хлеба из казенных магазинов. Закупка хлеба на средства казны в казенные хлебозапасные магазины Туруханского края в отчетном году не производилась. В городских общественных магазинах налицо и в ссуде состояло запасного хлеба 5 520 четв ., а именно: в г. Канске — 730 четв ., Ачинске — 1 658 четв . и Минусинске — 1 356 четв. Сверх того, в г. Красноярске в магазине, принадлежащем казачьему населению, состояло хлеба 711 четв . Урожай 1900 г. по губернии был вообще удовлетворительный и на продовольствие жителей и обсеменение полей достаточный. Поэтому не предстоит надобности принимать какие-либо меры к обеспечению жителей губернии продовольствием; также не предстоит надобности в снабжении продовольствием и жителей Енисейского уезда, так как г. Енисейск и его уезд запасают хлеб сплавом из Минусинского уезда; в случае же крайней необходимости сельские общества с подлежащего разрешения покупают семена на свои деньги, хранящиеся на книжках Государственного банка и вырученные от продажи в прежнее время хлебных запасов из экономических магазинов. Кроме запасов хлеба, продовольствие населения губернии обеспечивается продовольственными капиталами: 1) губернским, который до 1 января 1901 г. хранился под книжкой Государственного банка за № 17863 в сумме 75 053 руб."
d37;1900 г.;1900;"26 Жители станков Туруханского края, расположенных от г. Туруханска вниз по р. Енисею до Толстого Носа, запасают хлеб для своего продовольствия летом с пароходов и судов, прибывающих в низовья р. Енисея из г . Красноярска и Енискейска , а зимой, при недостатке запасов, покупают у частных торговцев в селе Дудинском или же берут заимообразно из казенных хлебозапасных магазинов; жители же станков вверх по р. Енисею от г. Туруханска покупают хлеб в г. Енисейске чрез своих общественников, наиболее состоятельных, плавающих ежегодно, с открытием навигации, на своих судах в названный город для сбыта пушнины. В навигацию 1900 г. жители Туруханского края хотя и запасались по своим средствам хлебом, но беднейшее население и особенно инородцы не могли обойтись без займа хлеба из казенных магазинов. Закупка хлеба на средства казны в казенные хлебозапасные магазины Туруханского края в отчетном году не производилась. В городских общественных магазинах налицо и в ссуде состояло запасного хлеба 5 520 четв ., а именно: в г. Канске — 730 четв ., Ачинске — 1 658 четв . и Минусинске — 1 356 четв. Сверх того, в г. Красноярске в магазине, принадлежащем казачьему населению, состояло хлеба 711 четв . Урожай 1900 г. по губернии был вообще удовлетворительный и на продовольствие жителей и обсеменение полей достаточный. Поэтому не предстоит надобности принимать какие-либо меры к обеспечению жителей губернии продовольствием; также не предстоит надобности в снабжении продовольствием и жителей Енисейского уезда, так как г. Енисейск и его уезд запасают хлеб сплавом из Минусинского уезда; в случае же крайней необходимости сельские общества с подлежащего разрешения покупают семена на свои деньги, хранящиеся на книжках Государственного банка и вырученные от продажи в прежнее время хлебных запасов из экономических магазинов. Кроме запасов хлеба, продовольствие населения губернии обеспечивается продовольственными капиталами: 1) губернским, который до 1 января 1901 г. хранился под книжкой Государственного банка за № 17863 в сумме 75 053 руб."
