id;date_text;event_ref;context
d10;1899 г.;1899;"4 Копия ВСЕПОДДАННЕЙШИЙ ОТЧЕТ ЕНИСЕЙСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГУБЕРНАТОРА ЗА ЗА 19001900 ГОД ГОД Население губернии, как и в предыдущие годы, увеличилось благодаря, с одной стороны, естественному приросту, с другой — приселению извне, как то ссыльных и переселенцев; в общем же население Енисейской губернии по местным данным можно считать достигшим до 640 835 мужчин и женщин. На экономической и сельскохозяйственной деятельности населения губернии, занятого преимущественно земледелием, отчетный год отразился неблагоприятно, с одной стороны, благодаря значительному недороду хлебов и трав, с другой — по случаю мобилизации войск Сибирского военного округа, когда до 9 120 запасных нижних чинов в рабочую летнюю пору были отвлечены от полевых работ, каковое обстоятельство в связи с уменьшением, как последствием мобилизации, заработков среди рабочего населения, призванного из запаса на действительную службу, имело влияние и на уменьшение поступления окладных сборов. Хотя в минувшем году площадь посева для хлебов озимых, яровых и для картофеля была увеличена против 1899 г., однако хлеба собрано было менее, чем в 1899 г.: озимого на 93 739 пудов и ярового на 1 480 793 пуда, а с одной десятины собрано в сложности лишь 36 пудов разного хлеба; картофеля же собрано как с отдельной десятины, так и со всего пространства несколько более, чем в 1899 г., а именно — на 43 253 пуда. Таким образом, урожай всех хлебов в отчетном году оказался в общем ниже среднего, а урожай картофеля — выше среднего; тем не менее в принятии каких-либо чрезвычайных мер для продовольствия населения губернии надобности не представилось, и недостатка в хлебе не оказалось ввиду"
d11;1 января 1901 г.;1901-01-01;"5 как уменьшения спроса на сбыт такового, так и того обстоятельства, что за мелководьем много хлеба прежних урожаев осталось несплавленным в Красноярск; но главным образом продовольствие населения обеспечивалось значительными запасами хлеба, хранящегося в экономических магазинах, откуда и были выдаваемы ссуды на посевы и на продовольствие некоторым сельским обществам, пострадавшим от недорода. К 1 января 1901 г. в 486 экономических магазинах находилось налицо запасного хлеба, озимого и ярового, 391 215 четвертей, в ссудах и недоимках — 61 568 четвертей. В отчете за 1899 г. я имел счастие всеподданнейше докладывать ВАШЕМУ ИМПЕРАТОРСКОМУ ВЕЛИЧЕСТВУ о благодетельном значении экономических магазинов, а потому и ныне, как и в предыдущие годы, строгий постоянный надзор за благоустройством сих магазинов, наличностью в оных запасов хлеба и освежением его составляет одну из главнейших забот местной губернской администрации и крестьянских начальников. Кроме запасов хлеба, продовольствие населения губернии обеспечивается продовольственными капиталами: 1) губернским — 75 053 руб. с % на эту сумму, в размере 20 000 руб.; 2) мещанскими — 31 596 руб.; 3) крестьянскими — 87 278 руб. и 4) капиталом общественной запашки — 179 866 руб. При сравнении поступления окладных сборов 1899 г. с поступлением 1900 г. видно, что, во-первых , по губернии в 1899 г. на погашение общей суммы срочных и рассроченных недоимок и окладов поступило 70 %, а в 1900 г. — 68 %, и, во-вторых, общий остаток срочной и несрочной недоимки за 1900 г. увеличился на 22 %. Несвоевременность и неудовлетворительность поступления окладных сборов помимо приведенных причин, общих для всех уездов губернии, — недорода хлебов и мобилизации — вызваны и другими причинами, так например: по Красноярскому уезду — неурожаем хлебов 1898 г. и напряжением экономических сил населения от пополнения громадной хлебной недоимки в последние два года; по Енисейскому уезду — малым ловом белки, временным отсутствием сбыта пушнины и уменьшением извозного промысла; по Канскому уезду — уменьшением заработков"
d12;1899 г.;1899;"5 как уменьшения спроса на сбыт такового, так и того обстоятельства, что за мелководьем много хлеба прежних урожаев осталось несплавленным в Красноярск; но главным образом продовольствие населения обеспечивалось значительными запасами хлеба, хранящегося в экономических магазинах, откуда и были выдаваемы ссуды на посевы и на продовольствие некоторым сельским обществам, пострадавшим от недорода. К 1 января 1901 г. в 486 экономических магазинах находилось налицо запасного хлеба, озимого и ярового, 391 215 четвертей, в ссудах и недоимках — 61 568 четвертей. В отчете за 1899 г. я имел счастие всеподданнейше докладывать ВАШЕМУ ИМПЕРАТОРСКОМУ ВЕЛИЧЕСТВУ о благодетельном значении экономических магазинов, а потому и ныне, как и в предыдущие годы, строгий постоянный надзор за благоустройством сих магазинов, наличностью в оных запасов хлеба и освежением его составляет одну из главнейших забот местной губернской администрации и крестьянских начальников. Кроме запасов хлеба, продовольствие населения губернии обеспечивается продовольственными капиталами: 1) губернским — 75 053 руб. с % на эту сумму, в размере 20 000 руб.; 2) мещанскими — 31 596 руб.; 3) крестьянскими — 87 278 руб. и 4) капиталом общественной запашки — 179 866 руб. При сравнении поступления окладных сборов 1899 г. с поступлением 1900 г. видно, что, во-первых , по губернии в 1899 г. на погашение общей суммы срочных и рассроченных недоимок и окладов поступило 70 %, а в 1900 г. — 68 %, и, во-вторых, общий остаток срочной и несрочной недоимки за 1900 г. увеличился на 22 %. Несвоевременность и неудовлетворительность поступления окладных сборов помимо приведенных причин, общих для всех уездов губернии, — недорода хлебов и мобилизации — вызваны и другими причинами, так например: по Красноярскому уезду — неурожаем хлебов 1898 г. и напряжением экономических сил населения от пополнения громадной хлебной недоимки в последние два года; по Енисейскому уезду — малым ловом белки, временным отсутствием сбыта пушнины и уменьшением извозного промысла; по Канскому уезду — уменьшением заработков"
d13;1899 г.;1899;"5 как уменьшения спроса на сбыт такового, так и того обстоятельства, что за мелководьем много хлеба прежних урожаев осталось несплавленным в Красноярск; но главным образом продовольствие населения обеспечивалось значительными запасами хлеба, хранящегося в экономических магазинах, откуда и были выдаваемы ссуды на посевы и на продовольствие некоторым сельским обществам, пострадавшим от недорода. К 1 января 1901 г. в 486 экономических магазинах находилось налицо запасного хлеба, озимого и ярового, 391 215 четвертей, в ссудах и недоимках — 61 568 четвертей. В отчете за 1899 г. я имел счастие всеподданнейше докладывать ВАШЕМУ ИМПЕРАТОРСКОМУ ВЕЛИЧЕСТВУ о благодетельном значении экономических магазинов, а потому и ныне, как и в предыдущие годы, строгий постоянный надзор за благоустройством сих магазинов, наличностью в оных запасов хлеба и освежением его составляет одну из главнейших забот местной губернской администрации и крестьянских начальников. Кроме запасов хлеба, продовольствие населения губернии обеспечивается продовольственными капиталами: 1) губернским — 75 053 руб. с % на эту сумму, в размере 20 000 руб.; 2) мещанскими — 31 596 руб.; 3) крестьянскими — 87 278 руб. и 4) капиталом общественной запашки — 179 866 руб. При сравнении поступления окладных сборов 1899 г. с поступлением 1900 г. видно, что, во-первых , по губернии в 1899 г. на погашение общей суммы срочных и рассроченных недоимок и окладов поступило 70 %, а в 1900 г. — 68 %, и, во-вторых, общий остаток срочной и несрочной недоимки за 1900 г. увеличился на 22 %. Несвоевременность и неудовлетворительность поступления окладных сборов помимо приведенных причин, общих для всех уездов губернии, — недорода хлебов и мобилизации — вызваны и другими причинами, так например: по Красноярскому уезду — неурожаем хлебов 1898 г. и напряжением экономических сил населения от пополнения громадной хлебной недоимки в последние два года; по Енисейскому уезду — малым ловом белки, временным отсутствием сбыта пушнины и уменьшением извозного промысла; по Канскому уезду — уменьшением заработков"
d14;1900 г.;1900;"5 как уменьшения спроса на сбыт такового, так и того обстоятельства, что за мелководьем много хлеба прежних урожаев осталось несплавленным в Красноярск; но главным образом продовольствие населения обеспечивалось значительными запасами хлеба, хранящегося в экономических магазинах, откуда и были выдаваемы ссуды на посевы и на продовольствие некоторым сельским обществам, пострадавшим от недорода. К 1 января 1901 г. в 486 экономических магазинах находилось налицо запасного хлеба, озимого и ярового, 391 215 четвертей, в ссудах и недоимках — 61 568 четвертей. В отчете за 1899 г. я имел счастие всеподданнейше докладывать ВАШЕМУ ИМПЕРАТОРСКОМУ ВЕЛИЧЕСТВУ о благодетельном значении экономических магазинов, а потому и ныне, как и в предыдущие годы, строгий постоянный надзор за благоустройством сих магазинов, наличностью в оных запасов хлеба и освежением его составляет одну из главнейших забот местной губернской администрации и крестьянских начальников. Кроме запасов хлеба, продовольствие населения губернии обеспечивается продовольственными капиталами: 1) губернским — 75 053 руб. с % на эту сумму, в размере 20 000 руб.; 2) мещанскими — 31 596 руб.; 3) крестьянскими — 87 278 руб. и 4) капиталом общественной запашки — 179 866 руб. При сравнении поступления окладных сборов 1899 г. с поступлением 1900 г. видно, что, во-первых , по губернии в 1899 г. на погашение общей суммы срочных и рассроченных недоимок и окладов поступило 70 %, а в 1900 г. — 68 %, и, во-вторых, общий остаток срочной и несрочной недоимки за 1900 г. увеличился на 22 %. Несвоевременность и неудовлетворительность поступления окладных сборов помимо приведенных причин, общих для всех уездов губернии, — недорода хлебов и мобилизации — вызваны и другими причинами, так например: по Красноярскому уезду — неурожаем хлебов 1898 г. и напряжением экономических сил населения от пополнения громадной хлебной недоимки в последние два года; по Енисейскому уезду — малым ловом белки, временным отсутствием сбыта пушнины и уменьшением извозного промысла; по Канскому уезду — уменьшением заработков"
d15;1899 г.;1899;"5 как уменьшения спроса на сбыт такового, так и того обстоятельства, что за мелководьем много хлеба прежних урожаев осталось несплавленным в Красноярск; но главным образом продовольствие населения обеспечивалось значительными запасами хлеба, хранящегося в экономических магазинах, откуда и были выдаваемы ссуды на посевы и на продовольствие некоторым сельским обществам, пострадавшим от недорода. К 1 января 1901 г. в 486 экономических магазинах находилось налицо запасного хлеба, озимого и ярового, 391 215 четвертей, в ссудах и недоимках — 61 568 четвертей. В отчете за 1899 г. я имел счастие всеподданнейше докладывать ВАШЕМУ ИМПЕРАТОРСКОМУ ВЕЛИЧЕСТВУ о благодетельном значении экономических магазинов, а потому и ныне, как и в предыдущие годы, строгий постоянный надзор за благоустройством сих магазинов, наличностью в оных запасов хлеба и освежением его составляет одну из главнейших забот местной губернской администрации и крестьянских начальников. Кроме запасов хлеба, продовольствие населения губернии обеспечивается продовольственными капиталами: 1) губернским — 75 053 руб. с % на эту сумму, в размере 20 000 руб.; 2) мещанскими — 31 596 руб.; 3) крестьянскими — 87 278 руб. и 4) капиталом общественной запашки — 179 866 руб. При сравнении поступления окладных сборов 1899 г. с поступлением 1900 г. видно, что, во-первых , по губернии в 1899 г. на погашение общей суммы срочных и рассроченных недоимок и окладов поступило 70 %, а в 1900 г. — 68 %, и, во-вторых, общий остаток срочной и несрочной недоимки за 1900 г. увеличился на 22 %. Несвоевременность и неудовлетворительность поступления окладных сборов помимо приведенных причин, общих для всех уездов губернии, — недорода хлебов и мобилизации — вызваны и другими причинами, так например: по Красноярскому уезду — неурожаем хлебов 1898 г. и напряжением экономических сил населения от пополнения громадной хлебной недоимки в последние два года; по Енисейскому уезду — малым ловом белки, временным отсутствием сбыта пушнины и уменьшением извозного промысла; по Канскому уезду — уменьшением заработков"
d16;1900 г.;1900;"5 как уменьшения спроса на сбыт такового, так и того обстоятельства, что за мелководьем много хлеба прежних урожаев осталось несплавленным в Красноярск; но главным образом продовольствие населения обеспечивалось значительными запасами хлеба, хранящегося в экономических магазинах, откуда и были выдаваемы ссуды на посевы и на продовольствие некоторым сельским обществам, пострадавшим от недорода. К 1 января 1901 г. в 486 экономических магазинах находилось налицо запасного хлеба, озимого и ярового, 391 215 четвертей, в ссудах и недоимках — 61 568 четвертей. В отчете за 1899 г. я имел счастие всеподданнейше докладывать ВАШЕМУ ИМПЕРАТОРСКОМУ ВЕЛИЧЕСТВУ о благодетельном значении экономических магазинов, а потому и ныне, как и в предыдущие годы, строгий постоянный надзор за благоустройством сих магазинов, наличностью в оных запасов хлеба и освежением его составляет одну из главнейших забот местной губернской администрации и крестьянских начальников. Кроме запасов хлеба, продовольствие населения губернии обеспечивается продовольственными капиталами: 1) губернским — 75 053 руб. с % на эту сумму, в размере 20 000 руб.; 2) мещанскими — 31 596 руб.; 3) крестьянскими — 87 278 руб. и 4) капиталом общественной запашки — 179 866 руб. При сравнении поступления окладных сборов 1899 г. с поступлением 1900 г. видно, что, во-первых , по губернии в 1899 г. на погашение общей суммы срочных и рассроченных недоимок и окладов поступило 70 %, а в 1900 г. — 68 %, и, во-вторых, общий остаток срочной и несрочной недоимки за 1900 г. увеличился на 22 %. Несвоевременность и неудовлетворительность поступления окладных сборов помимо приведенных причин, общих для всех уездов губернии, — недорода хлебов и мобилизации — вызваны и другими причинами, так например: по Красноярскому уезду — неурожаем хлебов 1898 г. и напряжением экономических сил населения от пополнения громадной хлебной недоимки в последние два года; по Енисейскому уезду — малым ловом белки, временным отсутствием сбыта пушнины и уменьшением извозного промысла; по Канскому уезду — уменьшением заработков"
d17;1900 г.;1900;"5 как уменьшения спроса на сбыт такового, так и того обстоятельства, что за мелководьем много хлеба прежних урожаев осталось несплавленным в Красноярск; но главным образом продовольствие населения обеспечивалось значительными запасами хлеба, хранящегося в экономических магазинах, откуда и были выдаваемы ссуды на посевы и на продовольствие некоторым сельским обществам, пострадавшим от недорода. К 1 января 1901 г. в 486 экономических магазинах находилось налицо запасного хлеба, озимого и ярового, 391 215 четвертей, в ссудах и недоимках — 61 568 четвертей. В отчете за 1899 г. я имел счастие всеподданнейше докладывать ВАШЕМУ ИМПЕРАТОРСКОМУ ВЕЛИЧЕСТВУ о благодетельном значении экономических магазинов, а потому и ныне, как и в предыдущие годы, строгий постоянный надзор за благоустройством сих магазинов, наличностью в оных запасов хлеба и освежением его составляет одну из главнейших забот местной губернской администрации и крестьянских начальников. Кроме запасов хлеба, продовольствие населения губернии обеспечивается продовольственными капиталами: 1) губернским — 75 053 руб. с % на эту сумму, в размере 20 000 руб.; 2) мещанскими — 31 596 руб.; 3) крестьянскими — 87 278 руб. и 4) капиталом общественной запашки — 179 866 руб. При сравнении поступления окладных сборов 1899 г. с поступлением 1900 г. видно, что, во-первых , по губернии в 1899 г. на погашение общей суммы срочных и рассроченных недоимок и окладов поступило 70 %, а в 1900 г. — 68 %, и, во-вторых, общий остаток срочной и несрочной недоимки за 1900 г. увеличился на 22 %. Несвоевременность и неудовлетворительность поступления окладных сборов помимо приведенных причин, общих для всех уездов губернии, — недорода хлебов и мобилизации — вызваны и другими причинами, так например: по Красноярскому уезду — неурожаем хлебов 1898 г. и напряжением экономических сил населения от пополнения громадной хлебной недоимки в последние два года; по Енисейскому уезду — малым ловом белки, временным отсутствием сбыта пушнины и уменьшением извозного промысла; по Канскому уезду — уменьшением заработков"
d18;1898 г.;1898;"5 как уменьшения спроса на сбыт такового, так и того обстоятельства, что за мелководьем много хлеба прежних урожаев осталось несплавленным в Красноярск; но главным образом продовольствие населения обеспечивалось значительными запасами хлеба, хранящегося в экономических магазинах, откуда и были выдаваемы ссуды на посевы и на продовольствие некоторым сельским обществам, пострадавшим от недорода. К 1 января 1901 г. в 486 экономических магазинах находилось налицо запасного хлеба, озимого и ярового, 391 215 четвертей, в ссудах и недоимках — 61 568 четвертей. В отчете за 1899 г. я имел счастие всеподданнейше докладывать ВАШЕМУ ИМПЕРАТОРСКОМУ ВЕЛИЧЕСТВУ о благодетельном значении экономических магазинов, а потому и ныне, как и в предыдущие годы, строгий постоянный надзор за благоустройством сих магазинов, наличностью в оных запасов хлеба и освежением его составляет одну из главнейших забот местной губернской администрации и крестьянских начальников. Кроме запасов хлеба, продовольствие населения губернии обеспечивается продовольственными капиталами: 1) губернским — 75 053 руб. с % на эту сумму, в размере 20 000 руб.; 2) мещанскими — 31 596 руб.; 3) крестьянскими — 87 278 руб. и 4) капиталом общественной запашки — 179 866 руб. При сравнении поступления окладных сборов 1899 г. с поступлением 1900 г. видно, что, во-первых , по губернии в 1899 г. на погашение общей суммы срочных и рассроченных недоимок и окладов поступило 70 %, а в 1900 г. — 68 %, и, во-вторых, общий остаток срочной и несрочной недоимки за 1900 г. увеличился на 22 %. Несвоевременность и неудовлетворительность поступления окладных сборов помимо приведенных причин, общих для всех уездов губернии, — недорода хлебов и мобилизации — вызваны и другими причинами, так например: по Красноярскому уезду — неурожаем хлебов 1898 г. и напряжением экономических сил населения от пополнения громадной хлебной недоимки в последние два года; по Енисейскому уезду — малым ловом белки, временным отсутствием сбыта пушнины и уменьшением извозного промысла; по Канскому уезду — уменьшением заработков"
d19;1900 г.;1900;"6 на отхожих промыслах и отсутствием извоза вследствие проведения железной дороги, а равно плохим урожаем кедровых орехов. К числу условий, препятствующих успеху поступления окладных сборов, следует отнести также и удаленность от волостных правлений и уездной администрации многих селений, не пользующихся поэтому должным наблюдением за исправным взиманием сборов. А потому в отчетном году в одном из уездов губернии было осуществлено разделение волостей с наибольшим населением и достигнуто более равномерное распределение селений по волостным районам этого уезда. Всех казенных доходов в 1900 г. поступило 3 428 905 руб., в том числе питейно -акцизных — 2 125 459 руб.; казенных расходов произведено 2 973 180 руб., более чем в 1899 г. на 356 326 руб. При этом осмеливаюсь всеподданнейше донести ВАШЕМУ ИМПЕРАТОРСКОМУ ВЕЛИЧЕСТВУ, что ввиду переживаемого населением губернии экономического кризиса, вызванного, с одной стороны, неурожаем последних лет, а с другой, коренным изменением быта вследствие проведения железной дороги, уничтожением или сокращением извозного промысла, я нахожу пока преждевременным изыскивать какиелибо меры, клонящиеся к усилению сборов с населения. Торгово-промышленная деятельность в городах Енисейской губернии за отчетный год заметно упала, главной причиной чему послужили: в городе Красноярске — значительное уменьшение в передвижении частных грузов по железной дороге по случаю перевозки войск на Восток; в городе Ачинске, где торговля поддерживалась раньше от движения грузов и пассажиров по пролегаемому через город тракту, — прекращение по оному движения вследствие открытия такового по железной дороге; в городе Енисейске экономические и бытовые условия жизни городского обывателя еще более осложнились к худшему вследствие сокращения добычи золота, составляющей главный источник промышленности; торговая деятельность остальных городов — Канска и Минусинска — ничем существенным от предшествовавшего 1899 г. не отличалась."
