Моложе 21 М.П.,Моложе 21 Ж.П.,21-25 М.П.,21-25 Ж.П.,26-30 М.П.,26-30 Ж.П.,31-35 М.П.,31-35 Ж.П.,36-40 М.П.,36-40 Ж.П.,41-45 М.П.,41-45 Ж.П.,46-50 М.П.,46-50 Ж.П.,51 и выше М.П.,51 и выше Ж.П.
716,1173,563,361,226,46,53,26,35,9,18,10,10,3,9,2
382,725,363,182,158,41,34,22,20,12,16,5,17,7,9,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,167,80,41,42,16,13,4,6,4,8,5,1,2,3,1
109,227,120,81,61,25,23,4,17,6,10,5,10,3,1,-
50,80,38,36,27,17,13,7,7,2,6,2,4,1,-,-
61,123,79,62,42,24,20,4,10,1,-,2,3,-,1,-
9,21,13,9,4,1,6,1,3,3,-,1,-,1,2,-
23,39,27,15,6,10,4,3,5,1,1,1,3,1,1,-
130,248,117,65,49,18,24,8,13,5,6,5,7,1,6,2
164,322,166,98,68,21,31,9,15,10,16,4,1,1,5,1
1,9,5,3,5,-,1,-,-,-,-,-,-,-,-,-
1732,3134,1571,953,688,219,222,88,131,53,81,40,56,20,37,11
