Июль м.,Июль ж.,Август м.,Август ж.,Сентябрь м.,Сентябрь ж.,Октябрь м.,Октябрь ж.,Ноябрь м.,Ноябрь ж.,Декабрь м.,Декабрь ж.,В год м.,В год ж.,Всего
1,4,2,1,2,3,3,8,4,2,9,2,39,45,84
3,10,8,4,4,6,5,4,2,5,6,5,52,68,120
3,2,1,-,1,2,2,4,6,-,3,-,30,28,58
3,1,7,2,3,2,5,3,2,2,1,6,33,39,72
2,5,2,1,3,-,4,1,2,5,2,3,31,33,64
5,6,6,-,1,5,2,3,3,-,3,3,34,34,68
4,2,5,6,7,5,3,2,8,2,7,3,69,46,115
2,4,4,4,-,-,6,3,2,3,2,4,45,41,86
3,4,3,3,2,5,7,4,6,3,5,3,48,43,91
3,1,5,5,2,3,1,6,1,2,4,4,44,42,86
7,4,5,2,1,1,6,4,2,5,5,3,53,47,100
7,5,3,9,3,4,10,3,10,8,10,5,85,70,155
5,5,4,2,3,6,1,2,4,2,1,2,34,40,74
4,3,1,3,1,3,8,4,3,5,2,2,38,41,79
4,2,7,1,2,3,3,5,2,6,5,1,55,32,87
2,2,7,1,3,2,7,3,5,1,6,8,54,31,85
13,6,14,3,10,6,8,9,3,5,9,5,100,64,164
7,1,3,3,1,-,4,3,5,2,5,3,47,28,75
7,2,3,3,3,3,4,2,4,5,3,2,45,39,84
3,5,4,3,5,5,2,3,4,1,4,-,51,39,90
5,6,3,7,3,5,5,4,6,2,7,7,58,58,116
8,5,8,11,9,7,12,4,12,8,12,10,118,83,201
4,-,5,4,5,1,3,4,4,2,2,2,45,30,75
7,1,2,1,6,2,3,3,4,1,4,2,50,40,90
2,2,2,1,4,2,5,4,8,4,7,6,52,37,89
4,3,8,4,11,3,8,4,6,-,7,7,70,44,114
8,1,8,5,7,4,6,4,6,3,6,6,83,48,131
3,4,4,1,6,1,3,5,3,2,3,7,58,41,99
4,3,3,2,9,3,2,2,1,5,8,5,62,46,108
4,2,4,3,5,2,1,1,2,2,2,6,48,32,80
10,5,8,6,5,2,9,4,6,5,11,-,104,48,152
15,6,8,3,5,6,11,7,7,11,22,5,123,84,207
2,3,-,7,5,-,3,2,2,-,5,4,39,33,72
7,5,4,3,3,1,6,4,9,1,6,1,62,40,102
7,3,7,3,6,2,4,3,3,2,8,6,58,47,105
5,1,10,3,4,5,7,5,7,4,5,8,78,53,131
11,7,8,1,9,9,4,5,10,5,11,12,101,85,186
5,2,5,4,3,4,6,7,2,1,15,4,62,42,104
5,2,7,3,5,2,4,4,4,3,3,8,60,57,117
