Наименование окладных сборов разрядов плательщиков и уездов,Недоимка на 1 января 1900 г. Отсроченных и рассроченных,Недоимка на 1 января 1900 г. Срочных,Причислено Отсроченных и рассроченных,Причислено Срочных,Исключено Отсроченных и рассроченных,Исключено Срочных,Всего причиталось к поступлению,В том числе Отсроченных и рассроченных,В том числе Срочных,ОКЛАДА
I. Подушная подать С крестьян-старожилов,7254-30 1/2,12715-10 1/2,-,1648-91 3/4,1614-6 3/4,432-32,19571-94,5640-23 3/4,13931-70 1/4,345-6
— из ссыльных,-,2-92,-,-,-,-,2-92,-,2-92,"-81
— из казаков,29-57 1/2,16-19,-,1-22,1-22,-,45-76 1/2,28-35 1/2,17-41,-
С оседл. инородцев,-,17-97,-,-,-,-,17-97,-,17-97,-
С купцов и мещан проживающих в селениях,-,86-82,-,-,-,4-5,82-77,-,82-77,-
С кочевых инородцев,-,23-28,-,1-",-,-,24-28,-,24-28,"-25
Итого,7283-88,12862-28 1/2,-,1651-13 3/4,1615-28 3/4,436-37,19745-64 1/2,5668-59 1/4,14077-5 1/4,346-12
§ 1 ст. 7 Межевой сбор С крестьян-старожилов,-,80-42 1/2,-,2-38 1/2,-,"-7 1/2,82-73 1/2,-,82-73 1/2,-
— из казаков,-,"-1/2,-,-,-,"-1/2,-,-,-,-
— из переселенцев,-,2-18 1/2,-,"-15,-,-,2-33 1/2,-,2-33 1/2,-
С оседл. инородцев,-,1-15 1/2,-,-,-,1-15 1/2,-,-,-,-
С купцов и мещан проживающих в селениях,-,15-67 1/2,-,-,-,"-75,14-92 1/2,-,14-92 1/2,-
С кочевых инородцев,-,3-11,-,-,-,-,3-11,-,3-11,"-15
Итого,-,102-55 1/2,-,2-53 1/2,-,1-98 1/2,103-10 1/2,-,103-10 1/2,"-15
§ 1 ст. 8 Оброчная подать С мещан г. Канска,1641-36,1654-50,-,331-54,331-54,-,3295-86,1309-82,1986-4,3425-"
С крестьян-старожилов,10638-25 1/2,32726-82 3/4,-,4498-40,4377-54,1911-83,41573-87 1/4,6260-47 1/2,35313-39 3/4,1167-24
— из ссыльных,-,9-59,-,-,-,-,9-59,-,9-59,2-74
С купцов и мещан проживающих в селениях,-,197-28 1/2,-,-,-,8-22,189-6 1/2,-,189-6 1/2,-
Итого,12279-61 1/2,34588-20 3/4,-,4829-94,4709-32,1990-5,45068-38 3/4,7570-29 1/2,37498-9 1/4,4594-98
