По уездам,Озимого,Ярового,Картофеля
Красноярскому,39609,208533,80190
Енисейскому,72022,112020,31937
Канскому,141449,335695,208486
Ачинскому,90235,288500,48946
Минусинскому,56224,595066,74468
Усинскому округу,728,7306,420
Итого,400267,1548120,444447
