Исповедание,Месяцы,Законнорожденных м. п.,Законнорожденных ж. п.,Незаконнорожденных м. п.,Незаконнорожденных ж. п.,Всего рождений без мертворожденных м. п.,Всего рождений без мертворожденных ж. п.
,Январь,1170,1149,165,178,1335,1327
,Февраль,1217,1121,132,124,1349,1245
,Март,1371,1327,152,154,1523,1481
,Апрель,1391,1329,124,128,1515,1457
,Май,1325,1284,137,128,1462,1412
,Июнь,1362,1308,114,137,1476,1445
,Июль,1451,1371,122,126,1573,1497
,Август,1373,1305,144,149,1517,1454
,Сентябрь,1211,1110,133,102,1344,1212
,Октябрь,1524,1536,146,130,1670,1666
,Ноябрь,1301,1283,165,149,1466,1432
,Декабрь,1206,1192,127,115,1333,1307
,Итого,15902,15315,1661,1620,17563,16935
