Название БОЛЬНИЦ,Оставалось к 1899 г.,В 1900 г. заболело,В 1900 г. выздоровело,В 1900 г. умерло,Осталось к 1901 г.
Красноярская,135,1503,1378,105,155
Енисейская,25,495,488,2,30
Ачинская,29,339,316,6,46
Канская,32,185,190,3,24
Минусинская,25,293,288,4,26
Итого,246,2815,2660,120,281
