Июль м.,Июль ж.,Август м.,Август ж.,Сентябрь м.,Сентябрь ж.,Октябрь м.,Октябрь ж.,Ноябрь м.,Ноябрь ж.,Декабрь м.,Декабрь ж.,В год м.,В год ж.,Всего
4,1,2,-,7,2,2,2,4,2,4,6,46,27,73
5,8,5,4,5,2,1,8,3,5,7,5,68,73,141
9,9,6,9,13,8,11,8,13,4,16,17,149,110,259
4,3,1,2,3,1,5,4,7,6,1,3,45,32,77
4,1,6,3,5,3,2,1,6,5,7,6,56,47,103
3,1,2,-,2,4,3,3,3,6,4,7,37,30,67
4,2,8,3,8,3,6,3,-,3,4,6,59,45,104
8,6,10,3,3,6,11,6,7,3,5,5,87,73,160
2,2,2,1,3,3,2,2,6,1,7,3,46,25,71
1,-,1,4,4,2,3,2,5,4,3,3,39,23,62
3,1,2,2,3,3,4,2,2,5,1,4,34,37,71
1,-,4,4,4,1,7,-,8,3,5,7,57,53,110
6,2,6,4,8,10,8,12,8,9,11,9,85,84,169
3,2,2,5,5,-,-,3,2,1,1,2,30,18,48
1593,1331,1420,1295,973,859,777,669,744,675,808,717,12509,11122,23631
7,5,6,6,10,3,9,8,8,3,6,8,81,69,150
3,10,5,2,4,1,2,10,9,9,12,7,83,69,152
2,2,4,4,7,5,4,4,3,6,4,5,51,40,91
2,4,3,1,3,-,1,3,3,3,4,5,23,29,52
1,1,1,2,-,1,1,1,2,1,1,-,13,10,23
1,-,-,-,1,-,-,-,-,-,-,-,4,1,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
16,22,19,15,25,10,17,26,25,22,27,25,255,218,473
2010,1895,1677,1419,1024,931,879,846,905,784,1109,928,13814,12269,26083
