Поступило Недоимок,Поступило Оклада,Зачтено Недоимок,Зачтено Оклада,Исключено Недоимок,Исключено Оклада,ВСЕГО,Будущих лет Недоимок,Будущих лет Оклада,Осталось ВСЕГО,Осталось Отсроченных,Осталось Срочных,Всего по казначействам за другие,Примечания
15243-20 1/4,189818-76 1/2,-,169-72,-,-,205229-69,-,288-88,59972-61 1/2,-,59972-61 1/2,-,-
-,-,-,-,-,-,-,-,-,3949-62,-,3949-62,-,-
7823-81 1/4,-,-,-,-,-,7823-81 1/4,-,2397-60 1/4,5427-26 1/4,-,5427-26 1/4,-,-
-,1689-97,-,-,-,-,1689-97,-,-,1331-89,-,1331-89,-,-
523-38 1/2,8270-74,-,-,-,-,8794-12 1/2,-,-,734-89,-,734-89,-,-
64-24 1/2,-,-,-,-,-,64-24 1/2,-,-,-,-,-,-,-
29774-93,248386-11 1/2,-,454-11 1/2,-,-,278615-16 1/4,-,2744-47 3/4,126772-19 1/4,-,126772-19 1/4,-,-
90-85,-,-,-,-,-,90-85,-,-,1271-14 3/4,-,1271-14 3/4,-,-
12-64 1/2,-,-,-,-,-,12-64 1/2,-,-,2264-47 3/4,-,2264-47 3/4,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-
"-1 1/2,-,-,-,-,-,"-1 1/2,-,-,1-13,-,1-13,-,-
22-2 1/2,-,-,-,-,-,22-2 1/2,-,-,99-78 3/4,-,99-78 3/4,-,-
-,-,-,-,-,-,-,-,-,1-14,-,1-14,-,-
68-12 1/2,-,-,-,-,-,68-12 1/2,-,-,910-42 1/2,-,910-42 1/2,-,-
193-66,-,-,-,-,-,193-66,-,-,4548-10 1/4,-,4548-10 1/4,-,-
115-38,649-1,-,545-17,-,-,1309-56,-,672-10,4209-64,-,4209-64,-,-
2-98,-,-,-,-,-,2-98,-,-,515-23,-,515-23,-,-
643-57 1/2,870-28,-,41-74 1/2,-,-,1555-60,-,17-61,3145-9 1/4,-,3145-9 1/4,-,-
96515-25 1/4,572562-21 1/2,-,2386-16,-,-,671463-63 1/4,-,4107-85 3/4,313879-65 1/4,13238-88 3/4,300640-76 1/2,-,-
