ВОЗРАСТ,Январь м.,Январь ж.,Февраль м.,Февраль ж.,Март м.,Март ж.,Апрель м.,Апрель ж.,Май м.,Май ж.,Июнь м.,Июнь ж.
29 — 30,3,5,3,2,1,4,3,4,2,5,4,2
30 — 31,1,3,-,6,6,5,4,7,8,7,-,2
31 — 32,1,1,2,5,4,4,2,2,-,1,2,1
32 — 33,2,3,-,2,4,4,1,5,2,4,1,3
33 — 34,-,2,1,1,3,2,4,2,2,5,2,2
34 — 35,1,3,4,2,1,1,1,4,-,3,3,3
35 — 36,5,2,3,3,5,4,8,5,3,6,3,1
36 — 37,4,5,6,3,6,2,3,6,-,3,3,2
37 — 38,3,2,1,4,1,3,1,4,3,4,3,3
38 — 39,4,5,2,-,2,3,1,2,4,5,5,3
39 — 40,4,3,4,4,1,2,6,4,-,4,7,7
40 — 41,7,6,5,6,2,7,7,7,6,5,2,2
41 — 42,2,3,3,4,2,4,-,4,2,3,2,1
42 — 43,1,1,3,3,5,6,2,3,3,4,1,-
43 — 44,3,2,3,4,4,3,4,2,3,2,6,-
44 — 45,4,6,3,1,3,2,3,-,1,2,-,1
45 — 46,3,5,1,6,7,2,6,2,5,5,5,5
46 — 47,5,2,2,1,4,4,1,4,3,4,2,1
47 — 48,2,2,1,5,5,3,3,2,2,3,5,2
48 — 49,6,5,2,-,5,2,1,3,6,4,3,4
49 — 50,1,3,6,6,3,2,4,8,7,3,1,3
50 — 51,9,3,8,3,3,8,4,7,4,5,8,4
51 — 52,3,2,2,4,2,2,3,3,3,3,4,2
52 — 53,3,6,1,5,3,5,2,5,7,5,3,1
53 — 54,2,1,1,3,6,5,1,2,2,3,7,2
54 — 55,4,7,4,1,4,3,5,5,2,2,5,3
55 — 56,6,1,1,6,6,1,5,8,9,2,9,4
56 — 57,7,1,5,4,4,2,4,6,6,2,3,2
57 — 58,6,3,3,3,7,9,5,5,3,5,3,-
58 — 59,6,4,1,3,4,3,4,2,1,1,3,-
59 — 60,13,1,7,5,5,6,6,6,12,1,3,6
60 — 61,10,6,4,9,3,9,11,6,8,5,5,4
61 — 62,5,9,1,1,1,-,1,-,4,3,5,2
62 — 63,6,2,5,10,1,2,3,4,2,-,3,3
63 — 64,1,4,3,7,2,4,6,3,1,1,4,7
64 — 65,2,3,4,5,7,9,9,2,3,2,7,2
65 — 66,5,10,10,5,2,8,5,5,6,8,9,2
66 — 67,2,3,3,1,4,5,6,5,2,2,5,1
67 — 68,4,4,2,5,6,11,6,3,8,8,2,4
