Июль м.,Июль ж.,Август м.,Август ж.,Сентябрь м.,Сентябрь ж.,Октябрь м.,Октябрь ж.,Ноябрь м.,Ноябрь ж.,Декабрь м.,Декабрь ж.,В год м.,В год ж.,Всего
307,302,279,244,125,118,86,82,84,71,111,83,1570,1381,2951
374,381,292,249,147,139,102,103,91,72,121,97,1798,1617,3415
320,277,215,158,101,85,77,55,74,69,94,70,1599,1256,2855
277,277,229,187,94,116,75,85,62,71,88,79,1531,1405,2936
133,142,126,128,82,75,64,65,64,64,85,67,1020,1001,2021
53,68,42,58,38,45,37,32,40,48,51,39,507,527,1034
37,33,31,23,23,21,23,28,27,22,36,22,333,331,664
25,26,15,19,16,16,20,14,17,15,19,17,222,218,440
18,13,13,11,9,12,7,12,10,13,11,13,141,139,280
7,9,6,3,12,13,5,8,7,5,5,12,84,99,183
5,5,7,9,3,6,4,7,3,6,4,11,57,83,140
1,5,2,2,5,2,4,2,2,6,4,3,29,50,79
5,7,7,6,3,2,2,3,4,5,6,4,54,58,112
7,1,4,4,1,2,3,3,5,1,5,4,40,36,76
1,5,3,-,2,2,2,5,3,1,2,3,27,31,58
3,1,4,4,1,4,1,1,3,2,4,3,31,36,67
2,6,3,5,-,2,1,4,1,2,2,2,13,35,48
2,1,2,3,-,4,3,2,4,3,4,1,24,25,49
3,2,2,3,5,-,3,2,2,3,2,4,29,22,51
2,3,2,3,4,4,4,3,2,5,4,2,35,27,62
1,2,4,1,2,1,1,4,5,1,3,4,30,27,57
1,3,3,1,5,4,1,4,4,6,6,5,38,36,74
4,2,3,6,7,2,3,1,4,3,4,3,39,34,73
5,4,1,3,3,6,1,3,5,4,4,2,37,34,71
4,1,2,2,7,-,2,3,2,4,4,1,32,27,59
2,3,-,1,2,6,7,2,2,3,1,4,27,32,59
2,5,6,3,2,-,2,4,4,5,2,3,32,41,73
1,4,1,8,1,5,-,3,3,3,4,3,23,45,68
4,2,2,4,3,2,3,4,4,-,4,4,39,38,77
5,4,3,4,1,1,3,4,7,2,3,2,39,38,77
3,3,-,2,1,2,1,4,2,1,4,3,22,32,54
3,3,1,3,2,2,3,4,3,3,6,4,31,31,62
