Июль м.,Июль ж.,Август м.,Август ж.,Сентябрь м.,Сентябрь ж.,Октябрь м.,Октябрь ж.,Ноябрь м.,Ноябрь ж.,Декабрь м.,Декабрь ж.,В год м.,В год ж.,Всего
-,1,-,-,-,-,-,1,-,1,1,1,3,7,10
1,3,3,1,1,1,-,-,1,1,2,-,13,10,23
2,-,1,-,-,-,-,-,1,-,1,-,8,6,14
-,1,1,-,2,-,-,2,-,-,-,2,5,7,12
-,-,1,-,-,-,1,-,-,3,-,1,6,8,14
1,4,-,-,-,1,-,1,2,-,-,-,7,7,14
1,1,2,1,4,-,2,1,1,-,3,1,21,9,30
-,-,-,2,-,-,-,-,-,-,-,-,7,4,11
-,-,-,-,-,-,-,-,1,1,1,-,12,2,14
2,-,-,-,-,-,-,1,-,-,1,1,13,6,19
1,1,2,-,-,-,4,1,1,1,1,1,14,8,22
1,-,-,-,1,3,7,1,4,1,3,-,28,8,36
1,-,1,-,-,-,1,-,-,-,-,-,8,2,10
1,1,1,-,-,-,2,1,1,-,-,-,9,6,15
1,1,2,-,-,-,1,2,-,-,-,-,13,4,17
-,1,1,-,-,-,-,-,2,-,3,-,16,3,19
5,3,3,1,3,1,4,-,1,-,2,1,34,11,45
2,-,1,-,-,-,1,-,3,-,2,1,14,1,15
-,1,1,-,1,-,2,-,2,1,1,-,10,7,17
1,2,1,-,-,-,-,-,1,-,1,-,10,6,16
1,-,-,-,-,1,-,1,2,-,1,1,11,5,16
1,-,-,3,3,2,2,-,6,2,5,-,38,15,53
-,-,2,1,2,-,-,1,1,-,-,-,10,3,13
1,-,-,-,-,-,-,-,-,-,-,-,6,3,9
1,1,-,-,1,-,3,-,2,-,1,1,13,4,17
1,-,1,-,2,1,1,-,1,-,4,1,12,6,18
2,-,-,1,2,-,-,-,-,-,2,-,12,4,16
2,1,2,-,-,-,-,-,-,-,-,-,11,5,16
1,1,1,1,1,-,1,-,-,1,3,-,15,4,19
-,-,1,-,1,-,1,1,-,2,-,1,14,7,21
4,-,-,-,1,-,2,-,-,-,2,-,18,1,19
5,-,3,1,1,1,5,-,3,3,7,-,38,12,50
1,-,-,1,2,-,1,-,1,-,1,-,11,3,14
3,-,1,-,1,-,2,-,5,1,1,-,20,5,25
5,-,1,-,3,-,-,1,1,2,1,1,17,6,23
2,-,3,-,-,-,2,1,-,-,1,1,17,6,23
2,1,2,-,1,2,-,-,-,-,4,-,20,11,31
2,1,-,-,-,-,-,2,-,-,2,-,8,6,14
2,1,3,-,2,-,1,-,-,-,-,3,13,4,17
