Июль м.,Июль ж.,Август м.,Август ж.,Сентябрь м.,Сентябрь ж.,Октябрь м.,Октябрь ж.,Ноябрь м.,Ноябрь ж.,Декабрь м.,Декабрь ж.,В год м.,В год ж.,Всего
22,21,22,14,10,9,4,9,9,6,4,10,147,138,285
21,13,14,7,7,13,8,14,10,8,8,12,123,113,236
15,17,14,8,4,3,3,3,8,6,5,6,100,98,198
20,19,10,14,4,3,7,3,13,6,15,10,143,120,263
12,11,12,13,8,7,12,4,13,6,9,12,113,94,207
5,6,2,4,3,3,7,8,3,10,3,4,47,53,100
1,-,6,2,2,2,1,6,4,3,-,7,27,28,55
3,-,2,2,3,1,2,2,5,4,3,3,24,17,41
-,1,2,2,2,-,1,1,2,2,1,-,14,11,25
-,-,-,1,1,1,1,1,-,1,4,1,7,8,15
-,1,-,2,-,2,-,-,1,2,3,2,11,11,22
1,2,2,-,-,-,1,-,1,-,-,1,6,5,11
-,1,-,-,-,1,-,-,-,-,1,-,4,3,7
-,-,-,-,-,-,-,-,-,-,1,-,3,3,6
-,-,-,-,-,1,-,-,-,-,1,2,4,4,8
1,1,-,-,-,-,-,1,-,1,-,-,3,4,7
-,-,-,1,-,-,-,-,1,-,-,-,2,2,4
-,-,-,-,1,-,-,-,-,-,-,-,2,-,2
-,-,-,-,-,-,1,1,-,-,-,-,1,4,5
-,-,-,1,-,-,-,-,-,-,-,-,3,2,5
-,-,-,-,-,-,-,1,-,-,1,-,3,3,6
-,-,-,-,-,-,-,-,1,1,-,1,5,5,10
-,1,1,1,-,-,-,-,-,-,-,-,3,4,7
2,1,-,-,2,-,1,-,2,-,1,-,14,4,18
-,2,1,-,-,-,-,-,-,1,-,-,5,3,8
-,-,-,1,1,-,-,2,-,-,1,2,6,7,13
-,1,-,1,-,-,-,-,1,-,2,-,8,10,18
-,1,-,-,-,-,2,-,2,-,-,-,9,5,14
1,-,2,-,-,1,2,-,-,1,1,-,10,4,14
-,-,2,-,1,-,-,-,-,2,2,1,6,8,14
-,1,-,1,1,1,-,-,-,-,-,1,8,9,17
-,-,1,-,2,1,-,-,-,-,-,1,9,4,13
