Исповедания,Месяцы,Общее число браков,Холостых с девицами,Холостых с вдовами,Вдовцов с девицами,Вдовцов с вдовами
,Январь,110,95,4,9,2
,Февраль,78,53,14,8,3
,Март,5,4,—,1,—
,Апрель,32,27,1,4,—
,Май,36,26,2,7,1
,Июнь,26,18,2,6,—
,Июль,45,31,5,7,2
,Август,19,17,1,1,—
,Сентябрь,37,31,2,2,2
,Октябрь,51,44,1,5,1
,Ноябрь,45,37,3,4,1
,Декабрь,4,4,—,—,—
,Итого,488,387,35,54,12
