<Капиталы>,К 1 января 1901 г. состояло руб.,К 1 января 1901 г. состояло коп.,В приходе за 1901 г. руб.,В приходе за 1901 г. коп.,В расходе за 1901 г. руб.,В расходе за 1901 г. коп.,К 1 января 1902 г. состоит руб.,К 1 января 1902 г. состоит коп.
в) Кружечный сбор в пользу богоугодных заведений,1369,8 1/4,-,-,-,-,1369,8 1/4
Капитал 3-го разряда:,,,,,,,,
Апелляционного,591,45 1/2,391,9,330,-,652,54 1/2
Капитал 4-го разряда:,,,,,,,,
а) Молотилина,604,34,22,80,-,-,627,14
б) Пожертвованный на сооружение церкви при красноярских богоугодных заведениях,1980,60,176,30,100,-,2056,90
Итого,241844,32 1/2,107942,25,207614,15,142172,42 1/2
