Двойней м. п.,Двойней ж. п.,Тройней м. п.,Тройней ж. п.,Четверней м. п.,Четверней ж. п.,Подкидышей м. п.,Подкидышей ж. п.,Перешедших в православие м. п.,Перешедших в православие ж. п.
43,33,3,—,—,—,—,2,8,9
29,23,—,—,—,—,1,1,6,6
42,34,3,—,—,—,1,—,8,14
27,21,—,—,—,—,1,—,5,4
41,37,—,—,—,—,—,—,5,4
36,34,—,—,—,—,3,—,2,
34,34,—,—,—,—,—,—,4,2
26,36,2,1,—,—,1,2,2,4
30,30,—,—,—,—,1,—,6,3
37,37,2,1,—,—,2,—,7,9
27,25,—,—,—,—,—,3,7,4
28,32,—,—,—,—,—,1,6,2
400,376,10,2,—,—,10,9,66,61
