Моложе 21 М.П.,Моложе 21 Ж.П.,21-25 М.П.,21-25 Ж.П.,26-30 М.П.,26-30 Ж.П.,31-35 М.П.,31-35 Ж.П.,36-40 М.П.,36-40 Ж.П.,41-45 М.П.,41-45 Ж.П.,46-50 М.П.,46-50 Ж.П.,51 и выше М.П.,51 и выше Ж.П.
22,72,41,25,28,6,9,3,3,3,4,1,2,-,1,-
16,35,26,23,19,8,5,3,4,4,-,2,5,2,3,1
1,3,2,2,1,-,1,-,-,-,-,-,-,-,-,-
4,19,12,8,10,5,2,-,2,-,2,-,-,-,-,-
-,17,9,11,16,4,5,3,2,-,1,1,2,-,1,-
4,10,7,8,8,5,2,-,1,-,1,2,1,-,2,1
6,23,13,14,10,4,4,-,8,3,4,1,-,-,-,-
1,8,9,9,5,2,2,-,2,-,-,-,-,-,-,-
6,18,12,13,11,3,7,-,-,3,-,-,1,-,-,-
5,26,24,19,11,2,5,4,5,-,-,-,-,-,1,-
10,25,15,14,9,3,6,1,2,1,2,-,1,1,-,-
-,3,3,-,1,1,-,-,-,-,-,-,-,-,-,-
75,259,173,146,129,43,48,14,29,14,14,7,12,3,8,2
