ВОЗРАСТ,Январь м.,Январь ж.,Февраль м.,Февраль ж.,Март м.,Март ж.,Апрель м.,Апрель ж.,Май м.,Май ж.,Июнь м.,Июнь ж.
68 — 69,3,3,5,2,2,1,3,2,6,6,4,—
69 — 70,8,8,3,5,13,9,8,11,6,2,4,6
70 — 71,18,15,10,4,15,12,13,6,17,9,8,9
71 — 72,2,3,5,2,12,4,1,3,2,1,2,—
72 — 73,4,9,7,2,9,4,3,4,2,6,1,3
73 — 74,4,—,1,2,4,3,1,1,7,1,3,2
74 — 75,5,4,5,9,3,3,8,3,6,3,2,3
75 — 76,7,10,6,11,6,7,7,4,8,7,9,5
76 — 77,5,4,2,2,10,2,1,1,1,4,5,—
77 — 78,2,1,3,2,4,1,7,3,3,1,3,—
78 — 79,4,4,3,3,5,5,4,4,2,4,1,—
79 — 80,6,5,6,4,7,12,3,6,2,6,4,5
80 — 81,4,11,3,7,9,5,17,8,4,4,1,3
Неизвестных лет,1,—,4,1,3,3,3,1,4,—,2,—
Итого,826,721,724,668,984,807,875,839,927,841,1748,1492
81 — 85,5,6,8,6,4,9,8,8,6,6,4,1
85 — 90,6,3,8,8,8,9,15,4,8,3,3,3
90 — 95,4,4,4,2,10,2,3,4,6,1,—,1
95 — 100,—,1,3,1,—,5,1,2,2,4,1,—
100 — 105,2,1,2,—,1,2,—,1,2,—,—,—
105 — 110,—,1,—,—,—,—,2,—,—,—,—,—
110 — 115,—,—,—,—,—,—,—,—,—,—,—,—
115 — 120,—,—,—,—,—,—,—,—,—,—,—,—
120 — 125,—,—,—,—,—,—,—,—,—,—,—,—
Итого,17,16,25,17,23,27,29,19,24,14,8,5
ВСЕГО,843,737,749,685,1007,834,904,858,951,855,1756,1497
