Наименование окладных сборов разрядов плательщиков и уездов,Недоимка На 1 января 1900 г. Отсроченных и рассроченных,Недоимка На 1 января 1900 г. Срочных,Причислено Отсроченных и рассроченных,Причислено Срочных,Исключено Отсроченных и рассроченных,Исключено Срочных,За причислениями и исключениями причиталось к поступлению ВСЕГО,В том числе Отсроченных и рассроченных,В том числе Срочных,ОКЛАДА
§ 1 ст. 8 Государственная оброчная подать С лиц состоящих в категории круговых плательщиков,-,52599-22,-,-,-,-,52599-22,-,52599-22,348844-83
С переселенцев: — полного оклада,-,38-82,-,31-46,-,-,70-28,-,70-28,122-97
— половинного оклада,-,410-75,-,5-40,-,3-3 1/2,413-11 1/2,-,413-11 1/2,2260-31 1/2
Итого,-,53048-79,-,36-86,-,3-3 1/2,53082-61 1/2,-,53082-61 1/2,351228-11 1/2
§ 1 ст. 8 Оброчная плата с переселенцев — полного оклада,-,36822-21 1/2,-,713-30,-,195-94,37339-57 1/2,-,37339-57 1/2,14059-15
— половинного оклада,-,6461-64 3/4,-,78-66,-,347-70,6192-60 3/4,-,6192-60 3/4,10211-50
Итого,-,43283-86 1/4,-,791-96,-,543-64,43532-18 1/4,-,43532-18 1/4,24270-65
§ 1 ст. 2 п. 1 Государственная поземельная подать С крестьян из казаков уездов,-,616-79,-,-,-,-,616-79,-,616-79,1212-70
Итого по разделу 1-му,19563-49 1/2,144502-48 1/2,-,7312-43 1/4,6324-60 3/4,2905-8,162148-72 1/4,13238-88 3/4,148909-83 1/2,580452-71 1/2
С прочих сословий: § 1 ст. 3 п. а Налога с недвижимых имуществ и пени с налога,538-19,1945-75,-,728-87,538-19,-,2674-62,-,2674-62,18000-"
Губернская повинность С крестьян-старожилов,-,2313-55 3/4,-,30-36 1/2,-,-,2343-92 1/4,-,2343-92 1/4,34458-33
— из ссыльных,-,18765-17,-,46-30,-,871-54 3/4,17939-92 1/4,-,17939-92 1/4,407-54 1/2
С переселенцев — полного оклада,-,2779-66,-,601-75,-,290-14,3091-27,-,3091-27,12806-89
— половинного оклада,-,383-32 3/4,-,85-7,-,143-21 1/2,325-18 1/4,-,325-18 1/4,13105-73
С оседл. инородцев,-,20-",-,-,-,-,20-",-,20-",127-"
С купцов и мещан живущих в селениях,-,523-30,-,-,-,29-58 1/2,493-71 1/2,-,493-71 1/2,3-"
С крестьян из казаков,-,-,-,-,-,-,-,-,-,2910-45
С кочевых инородцев,-,65-94 1/4,-,-,-,-,65-94 1/4,-,65-94 1/4,-
С переселенцев полного оклада,-,20029-31,-,1578-58 1/2,-,1781-78 1/2,19826-11,-,19826-11,2444-22
