Июль м.,Июль ж.,Август м.,Август ж.,Сентябрь м.,Сентябрь ж.,Октябрь м.,Октябрь ж.,Ноябрь м.,Ноябрь ж.,Декабрь м.,Декабрь ж.,В год м.,В год ж.,Всего
3,1,1,—,6,2,2,2,3,2,3,1,36,20,56
5,7,4,4,3,1,—,6,3,5,7,4,60,64,124
8,7,5,9,13,8,10,6,12,4,16,15,132,98,230
3,3,1,1,3,—,4,4,7,4,1,2,41,27,68
4,1,4,2,3,3,1,1,5,3,5,4,46,39,85
3,1,2,—,—,4,3,3,2,5,4,7,32,29,61
4,2,8,3,6,3,5,3,—,2,4,6,55,42,97
6,6,8,3,2,6,8,5,6,2,5,5,76,68,144
2,1,2,1,2,3,2,1,4,1,7,3,41,23,64
—,—,1,3,4,2,3,2,5,4,3,3,37,21,58
3,1,2,2,3,3,3,2,2,4,—,3,31,33,64
1,—,3,3,4,1,7,—,6,3,5,4,53,45,98
6,2,5,4,8,8,8,11,7,9,11,8,81,75,156
1824,1741,1513,1306,896,855,753,735,747,671,953,791,12017,10942,22959
6,4,6,5,7,3,9,8,8,3,4,5,71,62,133
3,9,5,2,4,1,1,10,8,9,11,7,74,66,140
2,2,4,3,7,5,4,4,3,5,4,4,48,36,84
2,4,3,1,3,—,1,3,3,3,4,5,22,28,50
1,—,1,2,—,—,1,1,2,1,1,—,13,8,21
1,—,—,—,—,—,—,—,—,—,—,—,4,1,5
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
15,20,19,13,22,9,16,26,24,21,24,21,232,201,433
1839,1761,1532,1319,918,864,769,761,771,692,977,812,12249,11143,23392
