Водворяемых рабочих м.,Водворяемых рабочих ж.,Военных м.,Военных ж.,Инородцев м.,Инородцев ж.,Иностранных подданных м.,Иностранных подданных ж.,Поселенцев м.,Поселенцев ж.,Ссыльно-каторжных м.,Ссыльно-каторжных ж.,Ниже 17 лет м.,Ниже 17 лет ж.,17-20 м.,17-20 ж.,21-30 м.,21-30 ж.,31-40 м.,31-40 ж.,41-50 м.,41-50 ж.,51-60 м.,51-60 ж.,Свыше 60 лет м.,Свыше 60 лет ж.
-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,1,-,3,-,2,-,-,-,-,-
7,-,11,-,8,14,3,-,378,10,1,-,3,-,44,16,304,38,314,35,161,23,69,13,30,1
1,-,4,-,2,1,-,-,80,1,-,-,1,-,23,4,159,17,198,35,156,23,72,11,22,5
-,-,3,1,3,-,-,-,66,2,-,-,1,-,42,11,187,12,125,27,91,13,20,1,2,-
-,-,-,-,-,-,-,-,5,-,-,-,1,-,2,-,14,3,34,7,33,4,15,2,4,-
2,-,1,-,-,-,-,-,261,6,-,-,1,-,6,1,109,3,165,10,112,4,36,-,9,-
-,-,1,1,-,-,-,-,3,-,-,-,1,-,3,-,5,1,15,3,12,5,4,-,-,-
-,-,1,-,4,-,-,-,33,-,-,-,6,-,9,-,65,7,63,3,48,4,20,1,8,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
-,-,-,-,2,-,-,-,5,1,-,-,-,-,-,-,16,5,19,2,10,2,8,1,3,-
-,-,2,-,2,-,2,-,8,-,-,-,2,-,8,-,24,3,37,2,8,-,11,2,6,-
-,-,1,-,3,-,-,-,20,3,-,-,-,-,23,2,78,25,85,24,54,9,23,2,6,2
-,-,1,-,5,-,-,-,39,1,-,-,-,-,11,2,65,10,67,11,39,5,19,-,6,-
-,-,1,-,4,-,-,-,6,-,-,-,-,-,7,-,13,1,15,1,13,2,2,2,5,-
-,-,-,-,10,1,-,-,10,-,-,-,-,-,34,-,56,-,65,-,44,1,30,-,11,-
-,-,1,1,24,-,-,-,244,4,1,-,10,2,56,12,204,18,228,23,144,7,65,1,30,-
-,-,-,-,-,-,-,-,35,-,-,-,3,-,12,-,28,4,49,4,28,2,9,3,6,-
-,-,15,3,59,2,2,-,1193,18,1,-,26,2,236,32,1023,109,1166,152,792,79,334,26,121,7
-,-,-,-,-,-,-,-,39,-,1,-,-,-,2,-,4,-,23,-,12,-,1,-,-,-
-,-,26,3,67,16,5,-,1232,28,3,-,29,2,280,48,1331,147,1503,187,965,102,404,39,151,8
