Водворяемых рабочих м.,Водворяемых рабочих ж.,Военных м.,Военных ж.,Инородцев м.,Инородцев ж.,Иностранных подданных м.,Иностранных подданных ж.,Поселенцев м.,Поселенцев ж.,Ссыльно-каторжных м.,Ссыльно-каторжных ж.,Ниже 17 лет м.,Ниже 17 лет ж.,17-20 м.,17-20 ж.,21-30 м.,21-30 ж.,31-40 м.,31-40 ж.,41-50 м.,41-50 ж.,51-60 м.,51-60 ж.,Свыше 60 лет м.,Свыше 60 лет ж.
-,-,-,-,-,-,-,-,5,-,-,-,-,-,1,-,-,-,6,-,2,-,-,-,2,-
-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,3,-,4,-,2,-,1,-,-,-
-,-,-,-,-,-,-,-,7,-,-,-,-,-,1,-,6,-,5,1,2,-,1,-,2,-
-,-,-,-,-,-,-,-,9,-,-,-,-,-,2,-,20,1,17,2,12,-,6,-,-,-
-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,7,1,4,-,3,-,1,-,2,-
-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,2,-,1,-,2,-,2,-,-,-
2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,1,-,1,-,-,-
-,-,1,-,2,-,-,-,5,-,-,-,-,-,2,-,14,-,32,1,13,-,9,-,2,-
-,-,3,-,-,-,-,-,-,-,-,-,-,-,1,-,31,-,12,-,2,-,-,-,-,-
-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,4,-,4,-,-,-,2,-,1,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
-,-,-,-,4,11,-,-,8,1,-,-,-,-,5,7,17,10,33,32,20,12,13,9,7,-
-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
