Тульской,Вятской,Псковской,Волынской,Лифляндской,Смоленской,Пермской,Харьковской,Воронежской,Нижегородской,Таврической,Душ муж.,Душ жен.,Всего до 1901г Семей,Всего до 1901г Душ муж.,Всего до 1901г Душ жен.,Ссуда дом Семей,Ссуда дом Сумма р.,Ссуда дом Сумма к.,Ссуда прод Семей,Ссуда прод Сумма р.,Ссуда прод Сумма к.,Ссуда посев Семей,Ссуда посев Сумма р.,Ссуда посев Сумма к.,Зачислено за ходоками,Свободных долей
,,,,,1,,,,,,290,240,98,316,251,69,3785,,,,,,,,698,
,,,,,,,,,,,,17,14,5,17,14,,,,,,,,,,,
,,,,,1,,,,,,307,254,103,333,265,69,3785,,,,,,,,698,
,,1,1,3,,,,,,,890,811,603,2199,1887,438,17068,33,,,,263,2102,26,1928,868
1,2,,18,,,,,,,279,264,804,2319,2142,154,5620,16,,,,33,226,40,384,261
,,,,,1,,,,,,45,39,12,45,39,9,270,,,,,,,,
1,3,1,19,3,1,,,,,,1214,1114,1419,4563,4068,601,22964,49,,,,296,2328,66,2312,1129
,,,,,,,2,,,,114,104,376,1248,1103,151,5369,60,,,,,,,171,5
4,,,,,1,24,,,,,113,122,451,1299,1238,98,3401,20,,,,,,,155,144
4,,,,,1,24,2,,,,227,226,827,2547,2341,249,8770,80,,,,,,,326,149
6,,,,,,,,,,,48,39,300,1007,771,91,4041,20,4,36,,,,256,25
,3,,,,,,,,,,40,23,337,825,759,44,1246,,,,,,,,329,52
1,,,,,,,,,,,82,85,21,82,85,5,495,,,,,,,,
7,3,,,,,,,,,,170,147,658,1914,1615,140,5782,20,4,36,,,,585,77
,,,,,,,,,,,,,,22,59,51,,,,,,,,,,,
,1,,,,,,,,,,6,4,44,121,104,1,50,,,,,,,,
,,,,,,6,,1,2,4,255,232,277,950,909,56,2030,,,,,,,,
,1,,,,,,6,,1,2,4,261,236,343,1130,1064,57,2080,,,,,,,,
12,7,1,19,3,3,30,2,1,2,4,2179,1977,3350,10487,9353,1116,43382,49,4,36,,296,2328,66,3921,1355
,,,,,,,,,,,,11018,9627,14040,47394,42528,6060,240933,65,947,13850,66,993,10484,36,27293,7691
