Двойней м. п.,Двойней ж. п.,Тройней м. п.,Тройней ж. п.,Четверней м. п.,Четверней ж. п.,Подкидышей м. п.,Подкидышей ж. п.,Перешедших в православие м. п.,Перешедших в православие ж. п.
1,3,—,—,—,—,—,1,1,1
5,1,—,—,—,—,1,1,1,—
1,1,—,—,—,—,—,—,4,5
—,—,—,—,—,—,1,—,2,1
2,2,—,—,—,—,—,—,1,—
2,4,—,—,—,—,2,—,1,—
—,—,—,—,—,—,—,—,2,—
2,4,—,—,—,—,1,2,—,2
5,5,—,—,—,—,—,—,2,2
4,2,2,1,—,—,2,—,—,1
9,7,—,—,—,—,—,3,3,—
—,4,—,—,—,—,—,1,5,1
31,33,2,1,—,—,7,8,22,13
