Сословие,Города мужчины,Города женщины,Уезды мужчины,Уезды женщины
Иностранные подданные,157,30,3,0
Инородцы,42,22,24261,22426
Ссыльные всех категорий,1784,1083,45090,8473
Пришедшие со ссыльными по воле,1969,1730,4382,5368
Итого,37120,24571,314205,264939
