ВОЗРАСТ,Январь м.,Январь ж.,Февраль м.,Февраль ж.,Март м.,Март ж.,Апрель м.,Апрель ж.,Май м.,Май ж.,Июнь м.,Июнь ж.
68 — 69,2,3,4,1,2,1,3,2,4,5,3,—
69 — 70,7,7,2,5,12,9,8,9,6,1,3,6
70 — 71,15,12,10,3,12,12,11,6,12,9,8,7
71 — 72,1,3,5,2,11,4,1,3,2,1,2,—
72 — 73,4,7,6,2,9,3,3,4,2,6,—,3
73 — 74,4,—,—,2,3,3,1,1,7,1,3,2
74 — 75,5,3,5,9,3,3,8,3,5,3,2,2
75 — 76,7,9,6,10,6,7,6,4,7,6,9,5
76 — 77,4,4,1,2,10,2,1,1,1,4,5,—
77 — 78,2,1,3,2,4,—,6,3,3,1,3,—
78 — 79,4,4,3,2,5,4,3,4,2,4,1,—
79 — 80,6,4,6,4,7,11,3,5,1,6,4,4
80 — 81,4,10,3,6,9,3,15,8,4,3,1,3
Итого,723,645,626,605,868,731,748,760,800,751,1566,1351
81 — 85,5,5,8,6,3,8,7,8,4,6,4,1
85 — 90,4,2,7,8,7,9,14,3,8,3,2,3
90 — 95,3,3,2,2,10,2,3,4,6,1,—,1
95 — 100,—,1,3,1,—,5,1,1,1,4,1,—
100 — 105,2,1,2,—,1,2,—,—,2,—,—,—
105 — 110,—,1,—,—,—,—,2,—,—,—,—,—
110 — 115,—,—,—,—,—,—,—,—,—,—,—,—
115 — 120,—,—,—,—,—,—,—,—,—,—,—,—
120 — 125,—,—,—,—,—,—,—,—,—,—,—,—
Итого,14,13,22,17,21,26,27,16,21,14,7,5
ВСЕГО,737,658,648,622,889,757,775,776,821,765,1573,1356
