НАЗВАНИЕ БОЛЬНИЦ,Оставалось к 1900 г.,В 1900 г. заболело,В 1900 г. выздоровело,В 1900 г. умерло,Осталось к 1901 г.
Красноярская с домом умалишенных,141,1778,1574,180,165
Енисейская,41,371,318,50,44
