VOZRAST,Январь м.,Январь ж.,Февраль м.,Февраль ж.,Март м.,Март ж.,Апрель м.,Апрель ж.,Май м.,Май ж.,Июнь м.,Июнь ж.
До 1 месяца,10,8,11,13,19,15,11,2,7,9,18,22
От 1 до 3 месяцев,7,7,6,3,3,5,10,3,11,5,18,23
— 3 — 6 —,5,7,2,1,7,7,4,10,10,8,23,22
— 6 — 1 года,7,9,13,7,6,2,10,10,9,12,29,25
— 1 — 2 лет,12,4,9,4,6,6,8,11,7,9,5,7
— 2 — 3 —,3,3,4,2,3,4,3,5,5,-,6,4
— 3 — 4 —,3,1,1,1,1,-,4,2,1,2,3,2
— 4 — 5 —,-,-,1,1,2,1,1,1,1,2,1,-
— 5 — 6 —,-,1,-,1,1,1,2,1,2,-,1,1
— 6 — 7 —,-,-,-,-,-,-,1,-,-,2,-,1
— 7 — 8 —,-,-,-,-,-,1,4,-,2,1,1,-
— 8 — 9 —,-,-,-,1,-,-,-,-,-,-,1,1
— 9 — 10 —,-,-,-,-,-,-,1,-,-,-,2,1
— 10 — 11 —,-,-,-,-,-,-,-,-,1,3,1,-
— 11 — 12 —,-,-,-,-,-,-,2,-,1,1,-,-
— 12 — 13 —,-,-,1,-,1,-,-,-,-,1,-,-
— 13 — 14 —,-,-,-,-,-,-,-,-,1,-,-,-
— 14 — 15 —,-,-,-,-,1,-,-,-,-,-,-,-
— 15 — 16 —,-,-,-,-,-,1,-,1,-,-,-,1
— 16 — 17 —,-,1,-,-,-,-,1,-,2,-,-,-
— 17 — 18 —,-,1,1,-,-,-,-,1,1,-,-,-
— 18 — 19 —,1,1,1,1,-,1,-,-,1,-,1,-
— 19 — 20 —,-,-,-,1,-,-,-,-,1,1,-,-
— 20 — 21 —,1,-,1,1,1,1,1,-,-,-,2,1
— 21 — 22 —,-,-,1,-,1,-,-,-,1,-,1,-
— 22 — 23 —,1,-,1,-,-,-,1,-,-,1,1,-
— 23 — 24 —,-,3,-,-,-,2,1,-,1,-,2,1
— 24 — 25 —,-,1,-,-,1,-,2,2,1,-,1,-
— 25 — 26 —,-,-,-,-,1,-,2,2,-,-,1,-
— 26 — 27 —,-,-,-,1,1,1,-,-,-,1,-,2
— 27 — 28 —,2,2,2,1,-,-,1,-,-,-,2,-
— 28 — 29 —,-,1,1,-,-,-,-,1,-,1,-,-
