Исповедания,Месяцы,Общее число браков,Холостых с девицами,Холостых с вдовами,Вдовцов с девицами,Вдовцов с вдовами
,Январь,1630,1455,36,100,39
,Февраль,999,880,15,67,37
,Март,—,—,—,—,—
,Апрель,240,194,6,19,21
,Май,351,287,7,42,15
,Июнь,145,99,14,16,16
,Июль,216,167,10,28,11
,Август,37,26,2,5,4
,Сентябрь,70,53,5,8,4
,Октябрь,352,290,17,32,13
,Ноябрь,466,396,10,39,21
,Декабрь,12,12,—,—,—
,Итого,4518,3859,122,356,181
