ВОЗРАСТ,Январь м.,Январь ж.,Февраль м.,Февраль ж.,Март м.,Март ж.,Апрель м.,Апрель ж.,Май м.,Май ж.,Июнь м.,Июнь ж.
— 29 — 30 —,3,5,4,2,1,4,3,4,2,6,5,4
— 30 — 31 —,1,3,1,6,6,6,5,9,8,8,3,2
— 31 — 32 —,2,1,2,6,4,4,4,2,—,4,2,3
— 32 — 33 —,2,3,—,2,4,4,2,6,2,5,2,3
— 33 — 34 —,1,3,1,1,3,3,6,3,2,5,3,3
— 34 — 35 —,1,3,6,2,1,1,2,4,—,3,4,4
— 35 — 36 —,6,2,4,4,5,5,9,7,5,7,6,1
— 36 — 37 —,4,6,7,3,8,2,4,6,2,3,4,3
— 37 — 38 —,5,2,3,4,3,3,2,4,4,4,5,4
— 38 — 39 —,4,5,4,—,5,6,3,2,6,5,6,3
— 39 — 40 —,5,3,4,5,4,3,6,5,—,5,8,7
— 40 — 41 —,11,6,7,7,3,7,9,8,7,5,5,3
— 41 — 42 —,2,3,3,4,2,4,5,4,2,5,2,1
— 42 — 43 —,2,1,3,6,6,6,3,3,4,5,1,—
— 43 — 44 —,4,2,5,5,6,3,6,2,4,2,7,—
— 44 — 45 —,5,6,5,1,4,2,4,—,6,3,—,2
— 45 — 46 —,4,5,4,6,10,2,6,2,6,8,13,7
— 46 — 47 —,8,2,2,1,4,4,1,4,5,4,2,1
— 47 — 48 —,2,4,2,5,5,4,3,2,3,5,6,2
— 48 — 49 —,7,7,2,2,6,2,3,3,8,4,3,4
— 49 — 50 —,4,3,6,7,4,2,4,9,8,3,3,3
— 50 — 51 —,14,4,12,5,6,8,6,9,7,6,12,6
— 51 — 52 —,3,2,4,4,2,2,3,4,5,3,5,2
— 52 — 53 —,4,7,3,5,3,5,3,6,7,5,4,2
— 53 — 54 —,3,1,2,3,6,5,1,2,3,5,9,2
— 54 — 55 —,4,7,4,1,5,4,5,5,3,2,5,4
— 55 — 56 —,9,2,1,7,7,2,6,8,9,2,10,4
— 56 — 57 —,7,3,5,4,5,3,5,7,10,2,4,2
— 57 — 58 —,7,3,3,3,10,10,6,5,4,5,5,—
— 58 — 59 —,6,6,1,3,7,3,7,3,3,1,6,—
— 59 — 60 —,15,1,8,5,7,6,8,7,13,1,4,6
— 60 — 61 —,14,6,5,11,6,10,14,7,8,7,8,5
— 61 — 62 —,5,9,1,1,5,1,1,—,4,3,6,3
— 62 — 63 —,7,2,6,10,1,2,5,6,3,—,5,5
— 63 — 64 —,4,5,4,8,3,4,6,3,2,1,4,7
— 64 — 65 —,3,3,4,5,9,11,10,3,6,3,8,2
— 65 — 66 —,5,12,10,5,6,9,9,7,7,10,11,3
— 66 — 67 —,2,3,3,2,5,6,6,5,4,2,6,2
— 67 — 68 —,4,4,2,5,8,11,7,3,9,8,2,4
