,муж.,жен.,обоего пола
Канскомъ,56276,46242,102518
Ачинскомъ,57700,52066,109766
Минусинскомъ,93571,88037,181608
Туруханскомъ краѣ,5856,5108,10964
Усинскомъ пограничномъ округѣ,1148,1045,2193
Итого,294925,252343,547268*)
