Наименованіе преступленій,Число преступленій,Число осужденныхъ м.,Число осужденныхъ ж.,Дворянъ потомственныхъ м.,Дворянъ потомственныхъ ж.,Дворянъ личныхъ м.,Дворянъ личныхъ ж.,Потомствен. гражданъ и купцовъ м.,Потомствен. гражданъ и купцовъ ж.,Духовнаго званія м.,Духовнаго званія ж.,Мѣщанъ м.,Мѣщанъ ж.,Крестьянъ м.,Крестьянъ ж.
По Уложенію о наказаніяхъ:,,,,,,,,,,,,,,,
"О преступленіяхъ противъ вѣры и постановленій церкви 176—218 ст.",11,11,-,-,-,-,-,-,-,-,-,-,-,7,*
"О святотатствѣ 219—235",1,-,-,-,-,-,-,-,-,-,-,-,-,-,*
"О сопротивленіи распоряженіямъ Правительства и неповиновеніи установленнымъ отъ онаго властямъ 262—275",4,5,1,-,-,-,-,-,-,-,-,-,-,2,*
"Объ оскорбленіи и явномъ неуваженіи къ присутственнымъ мѣстамъ и чиновникамъ при отправленіи должности 276—288",51,55,6,-,-,1,-,2,1,-,-,10,1,22,*
"О самовольномъ присвоеніи власти и составленіи подложныхъ указовъ или предписаній и др. исходящихъ отъ Правительства бумагъ 289—302",9,9,-,-,-,-,-,-,-,-,-,3,-,4,*
"О похищеніи бумагъ или вещей изъ присутственныхъ мѣстъ, сорваніи печатей и уничтоженіи поставленныхъ или приложенныхъ по распоряженію Правительства знаковъ 303—307",8,9,1,-,-,-,-,-,-,-,-,-,-,3,*
"О взломѣ тюремъ, уводѣ и побѣгѣ находящихся подъ стражею или надзоромъ 308—317",9,11,-,-,-,-,-,-,-,-,-,-,-,-,*
"О преступленіяхъ по службѣ государственной и общественной 329—505",42,46,-,-,-,2,-,2,-,-,-,3,-,37,*
"Объ уклоненіи отъ воинской повинности 506—547",85,91,-,1,-,1,-,1,-,-,-,3,-,52,*
"О нарушеніи уставовъ монетныхъ 556—578",17,23,1,-,-,-,-,-,-,-,-,-,-,5,*
"О нарушеніи постановленій о гербовомъ сборѣ 579—591",1,3,-,-,-,-,-,-,-,-,-,-,-,1,*
"О нарушеніи уставовъ горныхъ 591—622",1,1,-,-,-,-,-,-,-,-,-,-,-,1,*
"О нарушеніи постановленій о питейномъ сборѣ, табачномъ сборѣ, объ акцизѣ на сахаръ, нефтяномъ маслѣ и спичкахъ 665 ст.",152,95,46,-,-,-,-,4,2,-,-,12,6,60,*
"О возбужденіи къ начатію или продолженію противозаконныхъ исковъ и тяжбъ, о ложныхъ доносахъ, лжесвидѣтельствахъ и ложныхъ показаніяхъ на повальныхъ обыскахъ 939—946",5,6,1,-,-,-,-,-,-,-,-,1,1,4,*
"О бродяжествѣ 950—974",24,22,1,-,-,-,-,-,-,-,-,3,1,2,*
"О составленіи подложныхъ видовъ на жительство и проживаніи съ видомъ подложнымъ 975—977",24,24,2,-,-,-,-,-,-,-,-,-,-,7,*
"О преступленіяхъ противъ общественной нравственности и нарушеніи ограждающихъ оную постановленій 993—1003",9,8,9,-,-,-,-,-,-,-,-,-,1,2,*
"О книгопечатаніи 1008—1043",5,5,2,-,-,1,1,2,-,-,-,-,-,2,*
"О нарушеніи устава почтово-телеграфнаго 1098—1148",-,-,-,-,-,-,-,-,-,-,-,-,-,-,*
"О нарушеніи уставовъ торговыхъ 1169—1345",8,6,2,-,-,-,-,8,-,-,-,-,1,1,*
