ЧИСЛѢ Военныхъ м.,ЧИСЛѢ Военныхъ ж.,ЧИСЛѢ Инородцевъ м.,ЧИСЛѢ Инородцевъ ж.,ЧИСЛѢ Иностранныхъ подданныхъ м.,ЧИСЛѢ Иностранныхъ подданныхъ ж.,ЧИСЛѢ Поселенцевъ м.,ЧИСЛѢ Поселенцевъ ж.,ЧИСЛѢ Ссыльно-каторжныхъ м.,ЧИСЛѢ Ссыльно-каторжныхъ ж.,ВОЗРАСТЪ Ниже 17 лѣтъ м.,ВОЗРАСТЪ Ниже 17 лѣтъ ж.,ВОЗРАСТЪ 17—20 м.,ВОЗРАСТЪ 17—20 ж.,ВОЗРАСТЪ 21—30 м.,ВОЗРАСТЪ 21—30 ж.,ВОЗРАСТЪ 31—40 м.,ВОЗРАСТЪ 31—40 ж.,ВОЗРАСТЪ 41—50 м.,ВОЗРАСТЪ 41—50 ж.,ВОЗРАСТЪ 51—60 м.,ВОЗРАСТЪ 51—60 ж.,ВОЗРАСТЪ Свыше 60 лѣтъ м.,ВОЗРАСТЪ Свыше 60 лѣтъ ж.
-,-,-,-,-,-,4,-,-,-,-,-,1,-,6,-,1,-,2,-,1,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,3,-,-,-,-,-,-,-,-,-,1,-,2,1,1,-,-,-,-,-,1,-
1,-,-,-,-,1,9,1,-,-,-,-,2,-,9,2,13,-,12,1,7,2,2,1
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,2,-,-,-,-,-,1,-,3,-,3,-,1,-,1,-,-,-
-,-,-,-,-,-,4,-,1,-,-,-,-,-,1,-,4,1,2,-,1,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,11,-,-,-,-,-,-,-,9,-,2,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,1,-,10,-,14,-,12,-,6,-,3,-,-,-
22,-,-,-,-,-,-,-,-,-,-,-,-,-,54,-,26,-,-,-,-,-,-,-
-,-,-,-,-,-,18,-,-,-,-,-,1,-,10,-,8,1,2,-,2,-,-,-
-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
-,-,2,-,2,-,12,1,-,-,-,-,-,-,13,11,36,12,20,9,9,5,2,1
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,1,-,-,-,-,-,1,-,2,-,-,-,2,1,1,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,5,-,8,-,-,-,-,-,3,-,9,1,6,-,1,-,1,-
-,-,-,-,2,-,6,-,-,-,-,-,-,-,5,-,5,1,4,1,1,-,-,-
-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,3,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,2,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-
