НАЗВАНІЕ БОЛЬНИЦЪ,Оставалось къ 1899 г.,Въ 1899 году Заболѣло,Въ 1899 году Выздоровѣло,Въ 1899 году Умерло,Осталось къ 1900 г.
Красноярская съ домомъ умалишенныхъ,160,1462,1345,136,141
Енисейская,44,369,304,68,41
Ачинская,28,298,261,30,35
Канская,41,467,427,56,25
Минусинская,18,281,253,19,27
И т о г о,291,2877,2590,309,269
