"№ порядка","Перечень производимыхъ работъ и наименованіе участковъ и угодій, въ которыхъ работы производились.","Удобной. десят.","Неудобной. десят.","Всего. десят.","На какое число будуть нарѣзаны участки.","Общія количества измѣренныхъ земельныхъ угодій Всего десят.","ПРИМѢЧАНІЕ"
"1","Сосновка — переселенческій площадью","2193,08","131,57","2325,25","138","—","Опротестованъ г. управляющимъ государственными имуществами."
"2","Есауловка таежная — переселенческій площадью","3185,52","198,98","3384,50","204","—","Опротестованъ г. управляющимъ государственными имуществами."
"3","Чащевитый — переселенческій площадью","2472,60","59,4","2532,00","156","—",""
"4","Сугрястый — переселенческій площадью","1947,07","130,93","2078,0","129","—","Опротестованъ г. управляющимъ государственными имуществами."
"5","Ближній Имбежъ — переселенческій площадью","3008,18","135,32","3143,50","192","—","Опротестованъ г. управляющимъ государственными имуществами."
"6","Большой Унгутъ — переселенческій площадью","3073,91","77,45","3151,36","196","—","Съ особымъ ходатайствомъ передъ г. Иркутскимъ военнымъ генералъ-губернаторомъ."
"7","Кіяй — переселенческій площадью","3657,02","265,23","3922,25","235","—","Опротестованы г. управляющимъ государственными имуществами."
"8","Степной — переселенческій площадью","1973,33","86,19","2059,42","131","—","Опротестованы г. управляющимъ государственными имуществами."
"9","Нарва — переселенческій площадью","2013,64","710,75","2724,39","126","—","Съ особымъ ходатайствомъ передъ г. Иркутскимъ военнымъ генералъ-губернаторомъ."
"10","Сухобалайскій — переселенческій площадью","2652,25","127,75","2780,00","168","—",""
"11","Казомчежъ — запасный площадью","1391,5","17,5","1409,0","—","—","Опротестованъ г. управляющимъ государственными имуществами."
"12","Конопличъ — запасный площадью","804,45","46,75","851,20","—","—","Опротестованъ г. управляющимъ государственными имуществами."
"13","Дальній Имбежъ — запасный площадью","1254,54","68,25","1322,79","—","—","Опротестованъ г. управляющимъ государственными имуществами."
"14","Тюмонъ — запасный площадью","935,22","233,53","1168,75","—","—","Опротестованъ г. управляющимъ государственными имуществами."
"","Въ этомъ же районѣ (Средне-Манскомъ) подробно сняты и запроектированы слѣдующіе участки:","","","","","",""
"15","Покосный — переселенческій площадью","2828,5","409,5","3238,0","180","—",""
"16","Листвяжный — переселенческій площадью","2434,5","405,5","2840,0","154","—",""
"17","Имбежскіе Островки — переселенческій площадью","2897,25","100,75","2998,0","185","—",""
"18","Долгій — запасный площадью","613,45","94,55","708,0","—","—",""
"19","Жибалкинъ Бродъ — запасный площадью","669,85","20,15","690,0","—","—",""
"20","Широкій Логъ — запасный площадью","714,9","26,1","741,0","—","—",""
"","Кромѣ того, въ Средне-Манскомъ районѣ подробно сняты и предложены къ внесенію во временную комиссію слѣдующіе участки:","","","","","",""
"21","Хайдакъ — переселенческій","1874,75","200,25","2075,00","124","—",""
"22","Усть-Умбажскій — переселенческій площадью","1439,07","515,43","1954,5","95","—",""
"23","Умбажскій — переселенческій площадью","1341,0","285,0","1626,0","89","—",""
"24","Агафьевъ — переселенческій площадью","3988,15","411,85","4400,00","257","—",""
"25","Коженалъ — переселенческій площадью","4740,11","494,89","5235,0","308","—",""
"26","Старо-Кораблевскій — переселенческій площадью","1517,56","927,44","2445,0","101","—",""
"27","Аргала — переселенческій площадью","3143,98","86,02","3230,0","201","—",""
"28","Средне-Манскій — запасный площадью","997,17","262,83","1260,0","—","—",""
"29","Синій Хребетъ — запасный площадью","1700,30","155,2","1855,5","—","—",""
"30","Ушканка запасный площадью","2144,86","5,14","2150,0","—","—",""
"31","Починный — запасный площадью","658,47","43,53","702,00","—","—",""
"VI","Ойской (Почетскій) таежный районъ площадью","—","—","—","—","961317",""
"","Обслѣдованъ на площади","—","—","—","—","646317",""
"","Хотя обслѣдованіе его еще не закончено, но выяснилось, что подъ переселенческіе участки пригодна площадь до","—","—","—","—","153219",""
"","Изъ этой площади подробно сняты и одобрѣны временной комиссіей слѣдующіе участки","","","","","",""
"1","Слонцы — переселенческій площадью","3343,0","528,5","3871,5","214","—",""
"2","Пушкинскій — переселенческій площадью","2544,5","337,75","2882,25","168","—",""
"3","Долгій Мостъ — переселенческій площадью","9643,45","1583,75","11227,2","634","—",""
"4","Капкара — переселенческій площадью","3172,7","797,3","3970,0","236","—",""
"5","Панакачетъ — переселенческій площадью","3464,8","972,5","4437,3","223","—",""
"6","Лазаревъ — переселенческій площадью","6656,42","1123,58","7780,0","435","—",""
"7","Ана — запасный площадью","2674,25","387,0","3061,25","—","—",""
"8","Тебенетъ — запасный площадью","3618,75","435,0","4053,75","—","—",""
"9","Нелинзонъ — запасный площадью","2999,05","365,25","3364,3","—","—",""
"","Кромѣ того, подробно снята подъ участки площадь которую предположено разбить на слѣдующіе участки:","—","—","3062,26","—","—",""
"10","Лебяжій — переселенч. общей площадью","—","—","4275,0","237","—",""
"11","Глинный — переселенч. общей площадью","—","—","4464,0","257","—",""
"12","Черчетъ — переселенч. общей площадью","—","—","6000,0","362","—",""
