,,муж.,жен.,об. пола.
а) въ городахъ,-,-,1489,1493,2982
б) “ уѣздахъ,-,-,14575,13968,28543
,,Въ городахъ:,,Въ округахъ:,,Въ губерніи:
,,муж.,жен.,муж.,жен.,муж.,жен.
а) законнорожденныхъ,,1309,1285,13166,12587,14475,13872
б) незаконнорожденныхъ,,180,208,1409,1381,1589,1589
И т о г о,,1489,1493,14575,13968,16064,15461
2. Умершихъ:
,,муж.,жен.,об. пола.
а) въ городахъ,-,-,1394,1048,2442
