ПО УѢЗДАМЪ,Озимаго,Ярового,Картофеля
Красноярскому,7862,71806,5148
Енисейскому,12837,28006,4475
Канскому,16806,87609,8646
Ачинскому,19182,89064,6209
Минусинскому,10796,175548,11834
Усинскому округу,20,620,274
Итого,67503,704653,36588
