"По разверсткѣ назначено къ пріему на службу",-,-,1043
"Для пополненія назначеннаго числа новобранцевъ состояло:",,,
"а) по призывнымъ спискамъ (ст. 122 уст.)",-,-,3902
"б) « дополнительнымъ спискамъ А (ст. 180, 389 и 390)",-,-,-
"в) « « « Б (ст. 151)",-,-,262
"Итого",-,-,4164
"Въ числѣ внесенныхъ въ призывные списки заключалось:",,,,
"а) имѣвшихъ право на льготу по семейному положенію:",,,,
"I-го разряда",-,-,-,-,1042
"II-го разряда",-,-,-,-,725
"III-го разряда",-,-,-,-,208
"Итого",-,-,-,-,1975
"б) по вѣроисповѣданію:",,,,
"1) христіанъ",-,-,-,-,3853
"2) евреевъ",-,-,-,-,43
"3) магометанъ",-,-,-,-,21
"в) по сословіямъ:",,,,
"1) лицъ, внесенныхъ въ ревизскія сказки, а равно приписанныхъ къ обществамъ послѣ ревизіи (ст. 112 уст.)",-,-,3853
"2) лицъ, изъятыхъ отъ внесенія въ десятую народную перепись, а также вышедшихъ послѣ ревизіи изъ податнаго состоянія (ст. 113 уст.)",-,-,49
"Въ числѣ лицъ, внесенныхъ въ дополнительный списокъ Б, заключалось получившихъ отсрочку:",,,,
"1) по имущественному положенію (ст. 60)",-,-,1
"2) на окончаніе образованія (ст. 61–63)",-,-,6
"3) по невозмужалости для поправленія здоровья (ст. 47)",,,
"въ 1-й разъ",-,-,-,-,145
"во 2-й «",-,-,-,-,56
"За окончаніемъ отсрочки, данной на основаніи 1-го прим, къ ст. 62 уст.",-,-,54
"Итого",-,-,262
"Изъ лицъ, внесенныхъ въ призывные списки:",,,,
"а) Получили отсрочку:",,,,
"1) по имущественному положенію (ст. 60)",-,-,-
"2) на окончаніе образованія (ст. 61, 63)",-,-,10
"Итого",-,-,10
