ЧИСЛѢ Военныхъ м.,ЧИСЛѢ Военныхъ ж.,ЧИСЛѢ Инородцевъ м.,ЧИСЛѢ Инородцевъ ж.,ЧИСЛѢ Иностранныхъ подданныхъ м.,ЧИСЛѢ Иностранныхъ подданныхъ ж.,ЧИСЛѢ Поселенцевъ м.,ЧИСЛѢ Поселенцевъ ж.,ЧИСЛѢ Ссыльно-каторжныхъ м.,ЧИСЛѢ Ссыльно-каторжныхъ ж.,ВОЗРАСТЪ Ниже 17 лѣтъ м.,ВОЗРАСТЪ Ниже 17 лѣтъ ж.,ВОЗРАСТЪ 17—20 м.,ВОЗРАСТЪ 17—20 ж.,ВОЗРАСТЪ 21—30 м.,ВОЗРАСТЪ 21—30 ж.,ВОЗРАСТЪ 31—40 м.,ВОЗРАСТЪ 31—40 ж.,ВОЗРАСТЪ 41—50 м.,ВОЗРАСТЪ 41—50 ж.,ВОЗРАСТЪ 51—60 м.,ВОЗРАСТЪ 51—60 ж.,ВОЗРАСТЪ Свыше 60 лѣтъ м.,ВОЗРАСТЪ Свыше 60 лѣтъ ж.
*, -, 1, -, -, -, 12, -, -, -, 3, 1, 8, -, 27, 5, 36, 2, 20, 2, 8, 1, 3, -
*, -, -, -, -, -, -, -, -, -, -, -, -, -, 1, -, 1, -, -, -, -, -, -, -
*, -, -, -, -, -, 5, -, -, -, -, -, 3, -, 9, 1, 25, 3, 35, -, 17, 1, 3, -
*, -, -, -, 1, -, 13, 1, -, -, 1, 2, 8, 2, 19, 2, 30, 3, 19, 2, 7, -, 4, -
*, -, 3, -, -, -, 18, 2, -, -, -, 1, 11, 1, 35, 8, 41, 12, 26, 8, 9, 1, 3, 1
*, -, -, 2, -, -, 14, -, -, -, -, -, 3, 2, 18, 5, 26, 10, 14, 1, -, 1, 1, -
*, -, -, -, -, -, -, -, -, -, -, -, -, -, 1, -, -, -, -, -, -, -, -, -
*, -, -, -, -, -, 6, -, -, -, -, -, 3, -, 13, -, 23, -, 15, -, 12, 1, 7, -
*, -, 2, -, -, -, 3, -, -, -, 3, -, 4, -, 24, -, 78, -, 55, 1, 24, -, 13, -
*, -, 14, 1, -, -, 199, 11, -, -, 7, 1, 40, 2, 132, 10, 106, 14, 90, 8, 57, 10, 27, 1
*, -, -, -, -, -, 21, 3, -, -, -, -, 5, -, 14, 1, 16, 2, 20, 1, 6, -, 4, -
*, 2, 28, 4, 2, -, 570, 23, -, -, 15, 6, 152, 10, 671, 65, 769, 92, 589, 49, 248, 30, 115, 8
*, -, -, -, -, -, 79, -, 2, -, -, -, 2, -, 42, -, 29, -, 7, -, -, -, 1, -
*, 2, 36, 6, 4, 1, 1008, 31, 12, -, 20, 6, 207, 11, 1017, 107, 1077, 119, 750, 68, 307, 38, 137, 10
