Наименованіе преступленій,Число преступленій,Число осужденныхъ м.,Число осужденныхъ ж.,Дворянъ потомственныхъ м.,Дворянъ потомственныхъ ж.,Дворянъ личныхъ м.,Дворянъ личныхъ ж.,Потомствен. гражданъ и купцовъ м.,Потомствен. гражданъ и купцовъ ж.,Духовнаго званія м.,Духовнаго званія ж.,Мѣщанъ м.,Мѣщанъ ж.,Крестьянъ м.,Крестьянъ ж.
"О нарушеніи правилъ осторожности отъ пожаровъ 88—98",145,110,14,-,-,1,-,-,-,-,-,2,-,89,11
"О нарушеніи уставовъ почтоваго и телеграфнаго 99—101",2,2,-,-,-,-,-,-,-,-,-,-,-,2,-
"О проступкахъ противъ народнаго здравія 102—116",159,153,8,-,-,1,-,8,-,-,-,21,2,64,4
"О порядкахъ противъ личной безопасности 117—129",156,138,19,-,-,1,-,1,-,-,-,39,4,44,9
"Объ оскорбленіи чести 130—138",384,268,86,1,-,5,2,8,1,-,1,76,20,51,22
"Объ угрозахъ и насиліи 139—142",191,156,34,-,-,-,-,1,-,-,-,44,9,42,11
"О проступкахъ противъ правъ семейныхъ 143",1,1,-,-,-,-,-,-,-,-,-,1,-,-,-
"О самовольномъ пользованіи чужимъ имуществомъ и поврежденіи онаго 145—153",61,85,2,1,-,-,-,-,-,-,-,1,-,71,2
"О похищеніи и поврежденіи чужаго лѣса 154—168",94,202,1,1,-,-,-,1,-,3,-,8,-,184,1
"О кражѣ 169—172",616,594,65,-,-,-,-,1,-,-,-,53,10,228,25
"О мошенничествѣ, обманахъ и присвоеніи чужаго имущества 173—181",115,100,8,-,-,-,-,-,-,-,-,25,1,44,3
"И т о г о по мировому уставу",3554,3423,418,12,-,13,2,69,7,3,2,616,79,1451,17*
"О побѣгахъ ссыльно-поселенцевъ въ Сибири ст. 445 Уст. о ссыльн.",81,81,-,-,-,-,-,-,-,-,-,-,-,-,-
"В С Е Г О",4538,4450,534,13,-,19,4,87,10,4,2,676,92,1830,24*
