,муж.,жен.,обоего пола
а) Въ городахъ:,,,
Красноярскѣ,17107,13767,30874
Енисейскѣ,4829,4778,9607
Канскѣ,3778,3110,6888
Ачинскѣ,3675,3391,7066
Минусинскѣ,3197,2781,5978
Туруханскѣ,98,72,170
Итого,32684,27899,60583
б) Въ уѣздахъ:,,,
Красноярскомъ,43440,34585,78025
Енисейскомъ,36934,25260,62194
