,муж.,жен.,обоего пола
а) Въ городахъ:,,,
Красноярскѣ,14573,12027,26600
Енисейскѣ,5952,5587,11539
Канскѣ,4482,3022,7504
Ачинскѣ,3453,3261,6714
Минусинскѣ,5087,5188,10255
Туруханскѣ,106,94,200
Итого,33653,29159,62812
б) Въ уѣздахъ:,,,
Красноярскомъ,34836,32877,67713
Енисейскомъ,28293,25382,53675
Канскомъ,46650,39202,86152
Ачинскомъ,53424,50668,104092
Минусинскомъ,87471,84823,172394
Туруханскомъ краѣ,5799,5118,10917
Усинскомъ пограничномъ округѣ,1129,1018,2137
Итого,257902,239189,497090
