Название преступлений,Число преступлений,Примечания
Намерение отравить,1,2 обвиняемых под следствием.
Отступление от веры,1,3 виновных переданы суду.
Покушение на Святотатство,1,Обвиняемый под следствием.
Поджогов,14,"По 6 делам 11 виновных преданы суду, по 5 делам виновных не открыто, по 2 делам производится следствие и 3 обвиняемых содержатся под стражею, по 1 делу заподозренный отдан на поруки."
"Подкидывания записок, угрожающих пожаром",3,Виновных не открыто.
Грабежей,29,"По 8 делам 10 виновных преданы суду, по 17 делам 26 обвиняемых и 9 заподозренных состоят под следствием, по 4 делам виновных не открыто."
Растлений,3,"Виновные 1 предан суду, 1 бежал, а 1 обвиняемый под следствием."
Изнасилование,2,2 обвиняемых под следствием.
Прелюбодеяние,2,2 обвиняемых под следствием.
Истребление беременности,1,Виновная предана суду.
Рождение мертвых младенцев,3,"По 2 делам 2 виновных под следствием, по 3 же делу обнаружено, что преждевременные роды последовали от горячки."
Воровство-кража и воровство-мошенничество,372,"По 227 делам 246 виновных предано суду, по 75 делам 71 обвиняемых под следствием, по 6 делам виновных не открыто, а по 45 делам производятся розыски."
Поимок с краденными вещами,24,"По 11 делам виновных 17 человек предано суду, а по 13 делам производится следствие."
