ЗА ЧЕМ ОСТАЮТСЯ В НЕРЕШЕНИИ
"За непредоставлением Красноярскою городскою думою общественного приговора, требуемого указом Губернского правления от 10 декабря 1862 г., о чем ей в последний раз подтверждено 24 января сего года за № 389."
"За неполучением исполнительного рапорта от Минусинского ЗЕМСКОГО СУДА, на указ Губернского правления от 9 сентября 1863 г. за № 3648, о скорейшем исполнении которого в третий раз подтверждено 24 января сего года за № 385."
"За неполучением исполнительных донесений от Енисейских городового суда и общей городовой управы, на предписание Первого отделения губернского правления, от 20 декабря 1863 г. за № 5601 и 5602, о скорейшем доставлении которых им подтверждено 23 января сего года за № 349 и 350."
