НАЗВАНИЕ ОКРУГОВ,Государственных: На содержание почт и подвод при этапах,Государственных: На содержание земельных (***) управлений,Государственных: На содержание этапных и полуэтапных помещений,"Губернских: На дороги, мосты, перевозы и поверстных чиновникам строительной комиссии","Губернских: На содержание подвод при земских судах, в селениях для земских сообщений и на содержание воинских помещений в городах",Губернских: На содержание в губернских местах столов по земским повинностям
Красноярского,80387,5298-75,2557-96,2630-96,19650-9½,4710-3½
Енисейского,24349-95,6895-98,192-30,761-33,1964-7½,140
Ачинского,25512-63,3212-30,351-69,328-64,2564-93½,140
Канского,22312 25¼,5210 54¼,1640 4¼,3627,13575-17,140
Минусинского,4936-66,5203,,583-76,3465 40¾,159-93
Во всей губернииии,363924-55 55 5/4,27625-50,4773,7932 14¼,41219 73¼,5270-35
