ЗА ЧЕМ ОСТАЮТСЯ В НЕРЕШЕНИИ
"За неполучением исполнительного рапорта от Ачинского земского суда и уведомления от Томского губернского правления, от первого на указе, а от последнего на отношение (***) Губернского правления от 14 января 1864 г. за № 175 и 176."
"За неполучением от Ачинского земского суда исполнительного донесения, на указе Губернского правления от 7 августа 1863 г. за № 3045, о скорейшем исполнении которого в третий раз подтверждено 23 января сего года за № 371."
