ЗА ЧЕМ ОСТАЮТСЯ НЕРЕШЕННЫМИ
"За неполучением от Комиссии военного суда, учрежденной при Енисейском казачьем конном полке, сведений, затребованных 11 января 1864 г. за № 90."
"За неполучением от Туруханского отдельного управления сведений, затребованных 9 января 1864 г. за № 46."
"За неполучением от енисейского окружного начальника надлежащих по этому делу сведений, затребованных 29 октября 1863 г. за № 4481, о побуждении окружного начальника к немедленному доставлению этих сведений, представлено г. начальнику Енисейской губернии 26 ноября того же года за № 4772."
