Каких сумм,"Состояло, Руб.","Состояло, Коп.","Прибыло, Руб.","Прибыло, Коп.","Убыло, Руб.","Убыло, Коп.","Состоит, Руб.","Состоит, Коп."
"б) Израсходовано: возвращено по принадлежности сумм апелляционных 187 р. 27 к. – перечислено в доход Приказа апелляционных 269 р. 17½ к. и выдано сумм пересылочных 497 р. 26¾ к. в) Из числа остающейся суммы в Государственном банке находится в обращении апелляционных 2850 р. 4. Вкладов и других сумм а) в числе 20295 р. 19½ к. заключаются 14424 р. 8¾ к. процентов и 5871 р. 1¼ к. карточного сбора. б) Израсходовано: обращено вкладов 36188 р. 31¾ к., процентов 3139 р. 91¾ к., карточного сбора 5871 р. 11¼ к. и перечислено в другие разряды капиталов и процентов 514 р. 36 коп. в) Из числа остающейся суммы находится в обращении в Государственном банке 16334 р. 67 к. и на заемщиках 4050 р.",51323,68,20896,19,5029,10,20684,67
Итого,330673,65,31688,81,10,71½,50584,71¾
