ЗА ЧЕМ ОСТАЮТСЯ НЕРЕШЕННЫМИ
"По случаю открытия прописных по ревизии ссыльных происходит с разными местами и лицами переписка, о чем и производятся надлежащие следствия."
"За неполучением сведения, затребованного от Красноярской первой частной управы от 13 декабря 1863 г. за № 1925."
"За неполучением сведения от Красноярской городской думы, затребованного 13 декабря за № 19267."
"За неполучением сведения от Туруханского отдельного управления, затребованного от 10 сентября 1863 г. за № 12857, о скорейшем выполнении коего подтверждено в последний раз 17 декабря 1863 г. за № 19463."
