ЗА ЧЕМ ОСТАЮТСЯ НЕРЕШЕННЫМИ
"За неполучением от Минусинского окружного начальника донесения на предписание Экспедиции о ссыльных от 9 декабря 1863 г. за № 18977."
"За неполучением от Ярославского губернского правления сведения, запрошенного 13 декабря 1863 г. за № 19266."
"За неполучением исполнительного донесения от красноярского полицмейстера, затребованного 28 ноября 1863 г. за № 18717."
