ЗА ЧЕМ ОСТАЮТСЯ В НЕРЕШЕНИИ
"За неполучением исполнительного донесения от Красноярского земского суда, на предписание Первого отделения Губернского правления, от 31 декабря 1863 г., о скорейшем исполнении которого подтверждено 21 января сего года № 254."
"За неполучением от Красноярской общей городовой управы исполнительного донесения, на предписание Первого отделения губернского правления от 31 декабря 1863 г. за № 5777, о скорейшем исполнении которого подтверждено 21 января сего года за № 234."
"За неполучением от Ачинской полицейской управы исполнительного донесения, на предписание Первого отделения Губернского правления от 23 июля 1863 г. за № 2806, о скорейшем исполнении которого в третий раз подтверждено 21 января сего года за № 243."
