Название ярмарок,Где и когда бывает ярмарка,На какую сумму было привезено товаров,На какую сумму продано
Минусинском,,,
20. Абаканская 1-я,В с. Абаканском с 1 по 3 августа,Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
21. Абаканская 2-я,В с. Абаканском с 8 по 15 ноября,8020 р.,3265 р.
22. Усть-Ербинская,В с. Усть-Ербинском с 29 июня по 7 июля,Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
23. Белоярская,В с. Белоярском с 6 по 13 декабря,Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
24. Петровская,В с. Шушенском с 29 июня по 6 июля,650 р.,180 р.
25. Никольская,Там же с 6 по 13 декабря,700 р.,150 р.
26. Аскысская 1-я,В с. Аскысском с 15 по 25 декабря,Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
27. Аскысская 2-я,В первое воскресение после Св. Пасхи в течение 10 дней,Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
28. Таштыпская,"В казачьих станицах: В Таштыпской с 5 сентября по 1 октября",Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
29. Саянская,В Саянской с 1 по 15 ноября,Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
30. Суэтукская,В Суэтукской с 25 декабря по 10 января,Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
31. Соляноозерная,В Соляноозерской с 26 ноября по 1 декабря,Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
