Название преступлений,Число преступлений,Примечания
Самоубийств,13,"В том числе лишенные себя жизни из опасения за наказания за совершенное убийство – 1, от пьянства – 7, от помешательства – 2, от неосторожного обращения с огнестрельным оружием – 1, по причинам неизвестным – 7."
Убийств,36,"В том числе умышленных из корыстных видов – 22, вследствие ссоры – 3, по помешательству ума – 1, в пьяном виде – 1, из ревности – 3, по причинам нераскрытым – 6. Убийцы 19 человек, по 34 делам осуждены, по 5 делам виновных не открыто; по 11 делам 20 обвиняемых находятся под следствием, а по 1 делу убийца лишил себя жизни."
Зарытие в землю живой 6-летней девочки,1,"Преступление совершено в Туруханском крае, в виде жертвоприношения для отвращения повальной болезни скарлатины. Виновных 5 человек предано суду."
Отравление,1,Виновных не открыто.
Покушение на самоубийство,1,"Виновный, решившийся на самоубийство из опасения ответственности за растрату казенных денег, под следствием."
Покушение на убийство,3,"Покусившаяся на жизнь мужа жена из мести осуждена; дела о 2 виновных переданы на решение в судебные места."
