Звание округов,Название различного рода хлеба,Справочные цены за четверть зимние,Справочные цены за четверть весенние,Справочные цены за четверть летние,Справочные цены за четверть осенние,Торговые цены за четверть зимние,Торговые цены за четверть весенние,Торговые цены за четверть летние,Торговые цены за четверть осенние
В Канском округе,Рожь,2-59,2-50,2-50,2-40,2-55,2-45,2-52,2-42
,Ярица,2-80,2-60,2-80,2-72,2-40,2-40,2-45,2-55
,Пшеница,4-62,4-49,4-50,4-50,4-65,4-5,4-4,4-15
В Ачинском округе,Ячмень,3-63,3-63,3-63,340,3-63,3-50,350,3-50
,Овес,2-10,2-15,2-22,2-22,2-16,2-10,2-20,2-42
,Гречуха,3-60,3-40,3-60,3-60,2-50,3-40,3-60,2-60
,Просо,12,12-40,12-40,12,12,12-40,12-40,12
,Горох,3-5,3-5,3-5,3-5,2-86,2-86,2-86,2-62
,Картофель,1-20,1-20,1-20,1,0-90,1,1,1
,Мука ржаная,2-96,2-86,2-97,2-85,2-99,281,2-88,2-77
,Мука пшеничная,5-21,4-76,4-18,5,4-96,4-65,4-67,4-54
,Крупа гречневая,7-20,7-40,7-70,6-90,6-60,7-15,7-20,6-75
,Ячная,6-95,6-18,6-18,6-26,4-50,6-91,6-27,6-37
,Рожь,3-24,3-28,3-53,3-24,–,–,–,–
,Пшеница,4-65,4-65,4-66,4-66,–,–,–,–
,Ячмень,3-20,3-40,3-54,3-40,–,–,–,–
,Овес,2-31,2-41,2-41,1-25,–,–,–,–
,Мука ржаная,3-96,4-27,4-28,4-2,–,–,–,–
,Крупа ячменная,9-26,9-25,9-45,9-26,–,–,–,–
,Горох,1-75,1-75,1-59,1-75,–,–,–,–
В Минусинском округе,Муки ржаной в 9 пуд,2-84,2-96,2-98,2-96,2-96,2-96,2-96,2-96
,Муки 8 четвериковой меры в 7 пуд,2-29,2-29,2-29,2-29,2-29,2-29,2-29,2-29
,Ржи в 8 пуд,2-33,2-33,2-33,2-33,2-33,2-33,2-33,2-33
