НАЗВАНИЕ ГОРОДОВ,Домов: Казенных к.,Домов: Казенных д.,Домов: Частных к.,Домов: Частных д.,Торговых лавок к.,Торговых лавок д.,ДРУГИХ ЗДАНИЙ
,,,,,,,"Магазинов
провиантский – 1
соляных – 2
хлебных – 2
винных – 2
Соляная лавочка деревянная – 1
Гостиный двор деревянный – 1
Училище деревянное – 1
Острог деревянный – 1
Пороховой погреб деревянный – 1
Больница деревянная – 1
Военная сборная деревянная – 1
Кузниц деревянных – 5
Питейных домов деревянных – 1
Итого
каменных – 2
деревянных – 40
Всего – 42"
В Канске,–,12,–,398,1,55,"Церквей православных каменных – 1
Часовень
каменная – 1
деревянная – 1
Еврейская молитвенная школа – 1
Домов общественных деревянных – 2
Богадельня каменная – 1
Кладовая Окружного Казначейства каменная – 1
Заводов деревянных
кожевенный – 1
мыловаренный – 1
салотопленный – 1
Толчея для дуба – 1
Магазинов
провиантский – 1
соляных – 2
хлебных – 2
винных – 4
Соляная лавочка деревянная – 1
Гостиный двор деревянный – 1
Училище деревянное – 1
Острог деревянный – 1
Пороховой погреб каменный – 1"
