ЗА ЧЕМ ОСТАЮТСЯ НЕРЕШЕННЫМИ
"За неполучением подписки рядового Дагестанского пехотного полка Василия Прокопьева в получении денег 10 руб., о доставлении которой Красноярскому земскому суду от 8 ноября 1862 г. за № 12947 сообщено г. командиру Дагестанского пехотного полка и в последний раз повторено 19 сентября 1863 г. за № 12230."
Подпись
Подпись
Подпись
Подпись
