Название преступлений,Число преступлений,Примечания
Перевод фальшивых кредитных билетов,1,2 виновных преданы суду.
Подделки и имение фальшивой платы,2,Виновных 2 предано суду.
Подлогов,2,2 виновных предано суду.
Подделка паспорта,2,"Виновный предан суду, обвиняемый под следствием."
Составление фальшивых документов,12,"По 9 делам 12 виновных предано суду, по 2 делам 4 человека под следствием, по 1 делу виновных не открыто."
Проживание с фальшивыми видами,20,"15 человек предано суду, 5 человек под следствием."
Проживание без письменных видов,57,"По 45 делам 41 виновный предан суду, по 4 делам 4 человека под следствием, 8 дел в производстве."
Проживание с просроченными видами,16,"По 11 делам 7 виновных предано суду, по 5 делам производится следствие."
Растраты казенных денег и вещей,15,"По 3 делам 10 виновных предано суду, по 7 делам производятся следствия."
Захват чужой собственности,5,"По 1 делу виновный предан суду, а по 4 делам 4 человека под следствием."
Корчемства,2,Виновных 2 предано суду.
Нарушение устава о питейном сборе,47,"По 33 делам 33 человека подвергнуты взысканию, по 2 делам 2 преданы суду, по 10 делам производятся следствия, а по 2 виновных не открыто."
Нарушение супружеских обязанностей,1,Обвиняемый под следствием.
Оскорбление присутственных мест и должностных лиц,3,Виновных 3 предано суду.
