№ п/п,№ ведомости прошедшего года,Время поступления,С О Д Е Р Ж А Н И Е Д Е Л
138,136.,1857 2 июля,"149/57 О пополнении недоимок по магазинам Туруханского края посредством отдачи недоимщиков в работы."
139,137.,7 сентября,"193/57 Об упразднении хлебных магазинов Богучанского отделения."
140,138.,20,"208/57 По рапорту Красноярской городской думы о взыскании недоимки с мещанина Ворочникова."
