Енисейского округа,,,,,,,,,,
Северной системы,22,7,19,-,-,-,-,-,-,-
Южной системы,27,2,12,-,15,-,-,-,1,-
Ачинского и Минусинского округов,3,-,31,-,17,-,-,-,-,-
Канского и Нижнеудинского округов,1,-,-,-,4,-,11,-,-,-
Итого на промыслах,53,9,62,5,75,-,11,-,1,-
